Gene_ID,t_protein_3p_loss,t_protein_5q_amplification,t_protein_7p_amplification,t_protein_9p_loss,t_protein_14q_loss
A1BG,0,0,0,0,0
A1CF,1,0,0,0,0
A2M,0,0,0,0,0
AAAS,0,1,0,0,0
AACS,0,1,0,0,0
AADAT,0,1,0,0,0
AAED1,1,1,0,0,0
AAGAB,-1,1,0,0,1
AAK1,-1,0,0,0,1
AAMDC,0,1,0,0,0
AAMP,0,1,0,0,0
AAR2,0,1,0,1,0
AARS,0,1,0,1,1
AARS2,0,1,0,0,0
AARSD1,0,1,0,0,-1
AASDHPPT,0,1,0,0,0
AASS,-1,1,0,0,0
AATF,0,1,1,0,0
ABAT,0,1,0,0,0
ABCA1,0,1,0,0,0
ABCA2,0,1,0,0,1
ABCA3,0,1,0,0,0
ABCA8,1,1,0,0,0
ABCB1,0,1,0,0,0
ABCB10,1,1,0,0,0
ABCB6,1,1,0,0,0
ABCB7,1,1,0,0,0
ABCB8,1,1,0,0,0
ABCC1,1,1,0,1,1
ABCC10,1,1,0,0,0
ABCC2,1,1,0,1,1
ABCC3,1,1,0,1,0
ABCC4,0,1,0,0,1
ABCC6,0,1,0,0,1
ABCD1,0,1,0,0,1
ABCD3,0,1,0,0,1
ABCD4,0,1,0,0,-1
ABCE1,0,1,0,0,0
ABCF1,0,0,0,-1,0
ABCF2,0,1,0,0,1
ABCF3,-1,1,0,0,0
ABCG1,0,1,0,0,0
ABHD10,-1,1,0,0,0
ABHD11,0,1,0,0,0
ABHD12,0,0,0,1,1
ABHD14B,-1,1,0,0,0
ABHD15,0,1,0,0,0
ABHD16A,0,1,0,0,1
ABHD17A,0,1,0,0,0
ABHD17B,0,1,0,0,0
ABHD3,0,1,0,0,0
ABHD4,0,1,0,0,-1
ABHD5,0,1,0,0,0
ABHD6,0,0,0,0,0
ABI1,0,0,0,0,0
ABI2,0,0,0,0,-1
ABI3,0,-1,1,0,-1
ABI3BP,0,0,1,0,0
ABL1,0,0,1,-1,-1
ABL2,0,0,1,0,0
ABLIM1,0,0,1,0,0
ABLIM2,0,0,1,0,0
ABLIM3,1,1,1,0,0
ABR,-1,0,1,0,0
ABRACL,0,0,1,0,1
ABRAXAS1,0,0,1,0,0
ABRAXAS2,0,0,1,0,0
ABT1,0,0,1,0,1
ABTB2,0,0,1,0,0
ACAA1,-1,0,1,0,0
ACAA2,0,0,1,0,0
ACACA,0,0,1,1,1
ACACB,0,0,1,0,0
ACAD10,-1,0,1,0,0
ACAD11,1,0,1,0,0
ACAD8,1,0,1,0,0
ACAD9,-1,0,1,0,0
ACADL,0,0,1,0,0
ACADM,0,0,1,0,0
ACADS,1,0,1,0,0
ACADSB,0,0,0,0,0
ACADVL,1,0,1,0,0
ACAN,1,0,1,0,0
ACAP1,1,0,1,0,0
ACAP2,1,0,1,0,0
ACAP3,1,0,1,0,0
ACAT1,1,0,0,0,0
ACAT2,0,0,1,0,0
ACBD3,1,0,1,0,1
ACBD4,1,0,1,0,0
ACBD5,0,0,1,0,1
ACBD6,1,0,1,0,0
ACE,0,0,1,0,0
ACE2,0,0,1,0,1
ACIN1,0,0,1,0,-1
ACLY,1,1,0,0,0
ACMSD,0,0,0,0,0
ACO1,-1,0,0,0,0
ACO2,0,0,0,0,0
ACOT1,0,0,0,0,0
ACOT11,-1,0,0,0,0
ACOT13,0,0,0,0,0
ACOT2,-1,0,0,0,-1
ACOT4,0,0,0,0,0
ACOT7,0,0,0,1,1
ACOT8,0,0,0,0,1
ACOT9,0,0,0,0,0
ACOX1,0,0,0,1,0
ACOX2,0,0,0,1,0
ACOX3,0,0,0,1,1
ACP1,0,0,0,1,0
ACP2,-1,0,0,1,0
ACP5,0,0,0,1,0
ACP6,-1,0,0,1,0
ACPP,0,0,0,1,0
ACSF2,0,0,0,1,0
ACSF3,-1,0,0,1,0
ACSL1,-1,0,0,1,0
ACSL3,0,0,0,1,1
