Gene_ID,t_protein_cimp_positive
A1BG,-1
A1CF,0
A2M,0
AAAS,1
AACS,0
AADAT,0
AAED1,0
AAGAB,0
AAK1,0
AAMDC,0
AAMP,1
AAR2,1
AARS,1
AARS2,0
AARSD1,-1
AASDHPPT,0
AASS,0
AATF,1
ABAT,0
ABCA1,0
ABCA2,1
ABCA3,0
ABCA8,0
ABCB1,0
ABCB10,0
ABCB6,0
ABCB7,0
ABCB8,1
ABCC1,1
ABCC10,0
ABCC2,1
ABCC3,0
ABCC4,0
ABCC6,0
ABCD1,1
ABCD3,0
ABCD4,0
ABCE1,0
ABCF1,0
ABCF2,0
ABCF3,0
ABCG1,0
ABHD10,1
ABHD11,0
ABHD12,1
ABHD14B,-1
ABHD15,0
ABHD16A,0
ABHD17A,0
ABHD17B,0
ABHD3,0
ABHD4,0
ABHD5,0
ABHD6,0
ABI1,0
ABI2,-1
ABI3,-1
ABI3BP,0
ABL1,-1
ABL2,0
ABLIM1,-1
ABLIM2,0
ABLIM3,0
ABR,0
ABRACL,0
ABRAXAS1,0
ABRAXAS2,0
ABT1,1
ABTB2,0
ACAA1,0
ACAA2,-1
ACACA,1
ACACB,0
ACAD10,0
ACAD11,0
ACAD8,0
ACAD9,0
ACADL,0
ACADM,0
ACADS,0
ACADSB,0
ACADVL,0
ACAN,0
ACAP1,0
ACAP2,0
ACAP3,0
ACAT1,0
ACAT2,0
ACBD3,1
ACBD4,0
ACBD5,1
ACBD6,0
ACE,0
ACE2,0
ACIN1,0
ACLY,0
ACMSD,0
ACO1,0
ACO2,0
ACOT1,0
ACOT11,0
ACOT13,0
ACOT2,0
ACOT4,0
ACOT7,1
ACOT8,1
ACOT9,0
ACOX1,0
ACOX2,0
ACOX3,1
ACP1,0
ACP2,0
ACP5,0
ACP6,0
ACPP,0
ACSF2,0
ACSF3,1
ACSL1,0
ACSL3,1
ACSL4,1
ACSL5,1
ACSM2A,0
ACSM2B,0
ACSM3,0
ACSM5,0
ACSS1,0
ACSS2,0
ACSS3,0
ACTA1,0
ACTA2,0
ACTB,0
ACTBL2,0
ACTG1,0
ACTG2,0
ACTL6A,0
ACTN1,0
ACTN3,0
ACTN4,-1
ACTR10,0
ACTR1A,0
ACTR1B,-1
ACTR2,1
ACTR3,1
ACTR3B,0
ACTR5,-1
ACTR6,0
ACTR8,0
ACVR1,0
ACY1,0
ACY3,0
ACYP1,-1
ACYP2,0
ADA,1
ADA2,0
ADAL,0
ADAM10,0
ADAM15,0
ADAM17,0
ADAM9,1
ADAMTS1,0
ADAMTS7,0
ADAMTSL1,0
ADAMTSL2,0
ADAMTSL3,0
ADAMTSL4,1
ADAMTSL5,0
ADAP1,0
ADAP2,0
ADAR,1
ADARB1,-1
ADAT1,0
ADAT3,0
ADCK1,0
ADCK5,0
ADCY6,0
ADCY9,-1
ADD1,0
ADD2,0
ADD3,0
ADGRE2,1
ADGRE5,0
ADGRF1,0
ADGRF5,-1
ADGRG1,0
ADGRL2,-1
ADGRL4,-1
ADH1A,0
ADH1B,0
ADH1C,0
ADH4,0
ADH5,-1
ADH6,0
ADHFE1,0
ADI1,1
ADIPOQ,-1
ADIRF,-1
ADK,0
ADNP,0
ADO,0
ADPGK,0
ADPRH,0
ADPRHL2,0
ADRM1,1
ADSL,0
ADSS,0
ADSSL1,-1
AEBP1,0
AES,-1
AFAP1,0
AFAP1L1,-1
AFAP1L2,-1
AFDN,0
AFF1,0
AFF4,0
AFG1L,0
AFG3L2,0
AFM,-1
AFMID,0
AFTPH,0
AGA,0
AGAP1,-1
AGAP3,0
AGFG1,1
AGFG2,-1
AGGF1,0
AGK,0
AGL,-1
AGMAT,0
AGO1,-1
AGO2,0
AGO3,-1
AGPAT1,0
AGPAT2,0
AGPAT3,0
AGPAT4,0
AGPAT5,0
AGPS,1
AGR2,0
AGR3,0
AGRN,-1
AGT,-1
AGTPBP1,0
AGTRAP,0
AGXT,0
AGXT2,0
AHCTF1,1
AHCY,0
AHCYL1,0
AHCYL2,0
AHDC1,-1
AHNAK,-1
AHNAK2,0
AHR,0
AHSA1,0
AHSG,-1
AHSP,0
AIDA,0
AIF1,0
AIF1L,0
AIFM1,0
AIFM2,0
AIG1,0
AIMP1,0
AIMP2,1
AIP,0
AJUBA,0
AK1,-1
AK2,0
AK3,0
AK4,1
AK6,1
AKAP1,0
AKAP10,0
AKAP11,0
AKAP12,0
AKAP13,0
AKAP17A,0
AKAP7,0
AKAP8,0
AKAP8L,0
AKAP9,0
AKNA,0
AKR1A1,0
AKR1B1,0
AKR1B10,0
AKR1B15,0
AKR1C1,0
AKR1C2,0
AKR1C3,0
AKR1C4,0
AKR7A2,-1
AKR7A3,0
AKR7L,0
AKT1,-1
AKT1S1,0
AKT2,0
AKT3,-1
AKTIP,0
ALAD,0
ALAS1,0
ALB,-1
ALCAM,0
ALDH16A1,0
ALDH18A1,1
ALDH1A1,0
ALDH1A2,0
ALDH1A3,0
ALDH1B1,0
ALDH1L1,-1
ALDH1L2,0
ALDH2,0
ALDH3A2,0
ALDH3B1,1
ALDH4A1,0
ALDH5A1,0
ALDH6A1,0
ALDH7A1,0
ALDH8A1,0
ALDH9A1,-1
ALDOA,1
ALDOB,0
ALDOC,0
ALG1,1
ALG11,0
ALG12,0
ALG13,0
ALG14,0
ALG2,0
ALG3,1
ALG5,0
ALG6,0
ALG8,0
ALG9,0
ALKBH1,0
ALKBH3,0
ALKBH4,0
ALKBH5,0
ALKBH7,0
ALKBH8,0
ALOX5,1
ALOX5AP,0
ALPI,0
ALPK1,0
ALPK2,0
ALPL,0
ALS2,0
ALYREF,0
AMACR,0
AMBP,0
AMBRA1,0
AMDHD1,0
AMDHD2,-1
AMFR,0
AMN,0
AMOT,0
AMOTL1,-1
AMOTL2,0
AMPD2,0
AMPD3,0
AMPH,0
AMT,0
AMZ2,0
ANAPC1,0
ANAPC10,0
ANAPC11,0
ANAPC13,0
ANAPC16,0
ANAPC2,0
ANAPC4,0
ANAPC5,1
ANAPC7,0
ANG,0
ANGEL2,0
ANGPT2,0
ANGPTL2,-1
ANGPTL3,0
ANGPTL4,1
ANK1,0
ANK2,0
ANK3,-1
ANKFY1,0
ANKHD1,0
ANKHD1-EIF4EBP3,0
ANKIB1,0
ANKLE2,1
ANKMY2,0
ANKRD10,-1
ANKRD11,0
ANKRD13A,0
ANKRD16,0
ANKRD17,-1
ANKRD2,0
ANKRD22,0
ANKRD26,0
ANKRD27,0
ANKRD28,0
ANKRD39,0
ANKRD40,0
ANKRD44,0
ANKRD46,0
ANKRD49,-1
ANKRD50,0
ANKRD52,0
ANKRD54,0
ANKRD6,0
ANKS1A,-1
ANKS3,1
ANKS4B,0
ANKS6,-1
ANKZF1,0
ANO10,0
ANO6,1
ANP32A,0
ANP32B,0
ANP32E,0
ANPEP,0
ANTXR1,0
ANTXR2,0
ANXA1,0
ANXA11,0
ANXA13,0
ANXA2,0
ANXA3,0
ANXA4,0
ANXA5,0
ANXA6,0
ANXA7,0
ANXA9,0
AOAH,0
AOC1,0
AOC3,0
AOX1,0
AP1AR,0
AP1B1,0
