,09-1664,61-2094,25-1312,13-1409,24-1416,29-1769,13-1489,13-1482,13-1504,13-1492,36-2530,25-2409,13-1497,OVARIAN-CONTROL.1,61-1995,13-2065,61-1918,61-2613,23-1122,24-1464,25-1322,24-1103,24-2289,13-1511,24-1431,36-1570,13-1488,24-1435,30-1887,23-1121,24-1436,13-2061,36-2537,24-1474,13-1501,OVARIAN-CONTROL.2,24-1555,24-1562,25-1628,24-1558,29-1705,OVARIAN-CONTROL.3,24-1920,30-1891,61-2008,24-1927,OVARIAN-CONTROL.4,36-2544,24-2024,29-1693,13-1485,24-2030,29-1702,24-2033,24-2298,24-1544,61-1914,25-1313,29-1766,24-2261,25-1318,36-2532,13-2059,25-2399,29-1698,09-2056,29-1688,13-1494,13-1507,29-1690,25-1631,13-1500,29-1696,29-1771,13-2066,29-1711,13-1483,24-1422,29-1763,25-2397,29-2427,29-1785,61-2088,25-1623,36-1577,29-1768,36-1569,36-2534,OVARIAN-CONTROL.5,36-2549,36-2547,36-1578,36-2542,59-2351,24-2290,59-2348,59-2352,61-1915,24-1565,59-2372,24-1548,29-1762,61-1727,25-1323,36-1580,61-1741,61-1911,13-1404,61-1907,25-1329,24-1557,61-1910,29-1770,13-1410,61-2087,29-2431,61-1724,OVARIAN-CONTROL.10,29-1710,36-1571,OVARIAN-CONTROL.6,24-1553,13-1487,OVARIAN-CONTROL.7,25-2396,36-2545,OVARIAN-CONTROL.8,25-2404,24-1430,OVARIAN-CONTROL.9,29-1697,13-2060,MeanX,MeanY,distance,log_base,FoldChange,Statistics,P-value,adjusted_p,-log10(adjusted_p)
ACTG2,0.21057346006879546,-0.39032997422660304,-0.621619853224858,-0.272891346126526,-0.2404924732263885,-0.4356807003585945,0.1975192774324349,0.554578445769884,0.07309170901138,-1.0500058123273086,-0.7562622151695455,-0.7993232239206791,-0.5497423937667675,0.6697455973255491,-0.5646126493960215,0.0887097492492065,-0.204270973806665,0.8739525774187976,0.7579553818817355,0.1010901952803125,0.05690644101016951,-0.7881707843178705,0.2434281654026425,-0.3513575445334065,-0.1570131405614485,-0.005041564929815001,0.20170480235757,0.2979837675784875,0.46553792697012797,0.17747402566565298,-0.5334658239649345,-0.43678165349041553,-0.5194921085124735,-0.1102313377671485,0.6604510623751925,0.6920846454158156,-0.5946404505479785,0.12263888638041649,0.5674570823868246,-0.6870507155262725,0.68070757265213,0.768882363463321,-0.2711389883514985,0.6936689752353254,-0.070824275463414,-0.18360968530592747,0.626425010254466,-0.3283717375708795,-0.7193475207220424,-0.05028274441503599,1.3665254300540555,-0.7927755660026461,-0.6175207468809805,0.15088616840347097,-0.31333278935207753,-0.5264142286525265,-0.45796806763546144,0.43587767408753547,0.4381675633808685,-0.5555043330875915,-0.16183976511288548,-0.8050695844473421,-0.44302111219023693,-0.27842127885291207,0.5567670536969614,-0.5830202105382825,-0.279206870389553,-0.0741528435390505,-0.272714653649358,-0.013511479562996004,-0.128288518365176,0.972920042067171,-0.7656716545653205,-0.32024076900308995,-0.33663725749469453,-0.7240799212738931,0.40932191648139243,0.5768938427290089,-0.3509872524745155,-0.7498923960568277,-0.0004980094415494999,0.16162333155005848,-0.22652711324025404,1.0140184579180447,-0.37319625935690204,0.6897398356947545,0.039417048566584,-0.4083129713339795,0.8032365787001214,0.26301549945909597,-0.5023974628231584,-0.7091056700934535,-0.6298721319745285,0.11093924303268698,-0.731781699192021,0.0485551235185515,-0.22174556691889552,-0.6355348279706861,-0.2836819344635315,-0.4136436243569845,-0.4930844722288075,-0.653781025223282,-0.6016801597093014,0.038795819575570004,0.11689595685707549,-0.33415434181939646,-0.0973112069672715,0.010916752423898998,-1.1034198114321125,-0.0031110496152258666,-0.7215603581513069,-0.6987443325346515,0.3227592003607135,0.118644071095723,0.5215402039807415,0.26177012147771,0.27353881375878947,0.7190024900143771,0.643375266037502,-0.7691882265501104,0.7693825648399789,-0.38618444517507156,0.6047280884664961,0.4730844368490925,1.4256029484305952,0.577957113545712,0.590694496501378,0.5608866710412845,0.5053594299322519,0.82261648719617,-0.7898425637953069,0.12544224212951752,-0.490034461833993,0.4440277549169225,-1.024349019309453,2.0,0.49163208613051695,-9.383496530496162,5.742656233347241e-12,3.8431622484708456e-10,9.415311280347474
ADH1B,-1.2033545053472294,-1.587367863819926,-1.704068560344476,0.431531626620449,-0.9469775652374085,1.2785836678217153,-0.681127274430073,0.3930367890025989,0.205577125922111,-0.7589141960052516,-1.6728638395418893,-1.9705744258847149,-1.0105001648453427,1.3977349883426577,-0.8774834997192336,1.4577285914762386,-0.222186288305373,2.5120288333846035,1.0054706884248494,-0.7862386303482337,0.3421227830753525,-1.8930663972450648,-1.1096683419653346,-2.377277264382658,0.7990590767889194,-0.36770709648839295,1.944783773983548,-1.3241282559237115,1.09199300850426,-1.000615049093072,-1.5417761941103314,-1.3988566797825246,-1.9898209453498223,-0.6747918720883374,0.28396218761513053,1.2408375227813067,-0.7246089413605316,0.8069563251321263,0.9239525215897885,-1.3305884743948146,-0.7138828666927919,1.742159793361186,-0.0865651506029515,-1.3510007135224784,-1.490121905253326,-0.8798881511382305,1.286520220965894,-0.2027462623484595,-0.9013071812985715,-0.593233770950707,1.4270384602613353,-2.407968229913807,-2.2192395407285117,-2.3577724719108195,-0.7580590672384696,-1.6751440986074846,-2.1376588918916184,0.1336542620963725,1.4514055935891126,0.7533529012712284,-1.4131423942096004,-1.69718649707816,-1.286362332284294,0.5929256963425289,0.5409319310185196,-1.1639950425689924,0.907360000649521,-0.7189065824482596,0.132452065532493,-0.674090143599057,-0.6541839604664521,1.8321251585254619,-1.7328900938101506,-1.512080019357835,-1.6853269084998814,-2.401338241161631,-0.1258782073762555,-2.093712155494345,-0.5940551380678095,-0.5843884578732934,1.7479329366615977,-0.8621262879924465,-1.192997501868598,1.1092830586793676,-0.737141670571838,1.7642854284487963,1.125904852869224,-0.8537952756336615,1.4656635594633247,-0.34709154146104004,-2.7855201543037693,-1.9720134392388164,-1.9736545083054826,-1.2029882947440391,-1.1845085448580561,0.2774542783191855,-2.0417009115011977,-1.667776017655521,-2.0929125737933854,-1.6736976752189594,-1.8432553654651016,-1.7014168167675598,-1.5226500713262496,-1.1323910587280002,-0.26564238274736846,-1.5912892812349675,-1.9833799297599144,-0.583520415079459,-0.9208256830124305,1.4924537348172309,-0.304585161702331,-0.9305114550870455,0.6836991858920635,0.929314089717528,-0.8523961664018345,1.749418375732356,-0.33864103439178356,1.4783105784085941,0.909863635668264,-0.8769865968692935,1.117918937176289,-0.3145734006720565,1.141389187478275,1.1146394176904126,2.1394688483393454,0.376901556422374,0.961369927648001,0.1295474458900105,1.406744728838792,1.7344094110313422,-1.485482305997992,-1.0751706151953713,-1.278162672746683,0.289632030594447,-2.078347959056278,2.0,0.23678540123982939,-4.85424867441434,1.6292009620008114e-05,0.00010138804269962132,3.9940132609374075
AEBP1,0.4793622044652645,-0.922321291142158,-0.719552682747245,0.34156551618394293,0.7431348808345727,-0.17372214242306352,-0.037814873070392115,0.675100583247176,0.40902524919699096,-1.3451577988153185,-0.5150458396404495,-0.8073163139448771,-1.0774063477119475,0.13027834088049,-0.9866384521154624,-0.3386732109057765,-0.8009333459262968,0.38867998650659746,0.7783893023787065,0.6492296663048565,0.07206132310526549,-0.4725322634417255,0.5218510669644966,-0.3448286136113455,-0.8323062470962385,0.48714374856959897,-0.120063005954848,0.32886522328433654,0.867681040036711,0.378841103621797,-0.23585177582687347,-0.6697024859266145,0.031492580615200494,-0.4065655505382954,1.4827578971252766,0.12392903921163849,-0.3569894999622345,0.16454009746057652,0.7965649275193935,-0.4885329285409445,0.6922319280847569,0.10892498617269299,-0.45228517479106745,0.7819301217701016,0.77694928316906,-0.33959947799877244,0.12446600417823801,-0.3677431854472885,-0.3646199971256315,0.27375470317165507,0.49440176205731845,-0.9456225564045461,-0.7415937555313624,-0.162169271368337,-0.09977433112593251,0.3775845081483585,-0.6595482590009115,0.0882554678765695,0.8693580072117154,-0.5492865517999725,0.2590888686058675,-1.07844041555672,-0.63165189979853,-0.23588977804805997,0.8461955731760135,-0.4440744590568955,-0.30283310842453404,0.26892015003987646,-0.313011886738089,0.452988654662447,0.255802248528965,0.264682769621563,0.028245722306249502,-0.02028983915253,-0.7845408948854273,-0.619490755347721,0.7859596232068735,0.636462627845421,-0.2964736201934835,-1.1640846904796034,0.0623553868492785,0.7135709414269216,-0.6363590783705539,0.9303114924487266,0.412070988215058,2.5762654230879467,0.24283927733554797,-0.7599236784933804,0.12166695419023751,-0.18564720642919202,-0.5078739979177095,-1.3915669287333865,-0.7278337576351434,1.4196789793633209,-0.8082316088138651,-0.2348748546197685,0.5271047308595945,-0.847382912515331,-0.12350671172895851,-0.4993590335771675,-0.6476656251021465,-0.8316322748229009,-0.6966166220773895,0.8600128610962079,0.5285420435219256,-0.5830766713390895,0.2098334090598335,0.12722863814039598,-1.1780832045675427,0.247168100949081,-0.691987287389867,-0.8053452645915304,0.5135590367740185,0.700707326496488,-0.9794393798681775,-0.191200716792651,-0.2204029731796615,0.152948143421951,0.584859923893284,-0.6107958911076095,0.10752376359927401,-0.0038180384510045013,0.425520354886624,0.14353513063886053,-0.017124212099534,-0.100391946780816,0.15184184513897903,0.5756270432199645,0.825814906201492,0.143605175818586,-1.290425025854782,-0.005123631247845501,-0.6060181986997357,0.5967105252090691,-1.2784639032915461,2.0,0.412234197741385,-10.780462075859232,8.399543784214466e-14,1.0746475135686156e-11,10.96873396180893
ALDH1A3,-1.0324423969091194,0.021672635916284,-1.5668779321122557,-1.194212545040016,-0.6207310619847565,0.48914031334630653,-0.716636864319769,1.3174010449649551,0.593448214397601,-0.9643050336116264,-0.9646469638165136,0.256888959224072,-0.09076365128089348,0.783951623244059,-1.3341379130625366,0.0619165777446195,-0.6439174287303729,1.6743756526078535,0.6904503171095796,-0.7145709799314115,-0.4921539128511155,-0.5601495882453106,1.4753707900088653,-0.7684419953400506,0.3140620474879785,0.30460829090797903,0.641675251716787,-0.18905931558568748,1.73052585775499,-0.18440095980835003,1.0082890478787785,-0.7522792040326974,-1.3530742955083326,-0.5023414435707665,1.5193546083864367,0.5286731310809035,-0.6103146175167805,0.9251591186201445,1.2779351808566626,-0.8156743802045096,0.30191289293280293,0.5943472272195048,-0.6807446243960296,0.3572742790814595,-0.956503203681813,-0.4028914563405035,0.8352521150480169,1.1484709884917115,-1.3548710808633126,-0.041338642631715994,-0.2260513479364005,-0.10979848343769301,-1.3772140142949914,0.011286833567294,-0.6935416095238325,-0.8486297900197667,-0.6237723708036955,-0.5322699818682315,0.9863822438522434,0.29824209179105354,-1.2395411017274205,-0.953200115011217,-1.7524182984807641,0.64798129263157,1.1987744354684384,-0.8351547599854267,0.709582971386781,0.5086335310256125,0.9514266345719101,0.06669445700934501,-0.8896773972244151,0.46710922489740203,-0.1634713302128725,-1.351552340697405,-1.6357360535611816,-0.822678030941766,0.44578245204104244,1.3857473258980748,-1.1447822708683215,-0.8848910266439327,-0.1242450063926415,0.7484721878072675,-0.6567092637206309,0.35860896567053746,-0.244567014721514,2.2684431289316866,0.8932997556567199,-1.4675459842301344,0.9980736851997116,-0.977843602831653,-1.4943504628956494,-1.4079412564587064,-0.7506880170001066,0.023279726863828995,0.9324231966221631,0.30934418808707853,-0.2305031209138135,-0.16328142913493499,-1.3242641665342356,-0.6412343355698035,-0.5395885839197905,-0.41389893612019496,0.09835703447627249,-0.632997270150976,0.6043637971694265,-1.3269275241547076,-0.9222612256742765,0.6719276027077051,-1.5232855275008426,0.30738629602657497,-0.719140171891335,-0.9531755986664835,1.1078515795176296,0.9685236410756469,-1.2430726199843865,-0.365494532338372,-0.0701712546640715,0.775033706309115,0.792532175915495,-0.9965354744003975,0.973212984447475,-0.9624573544678826,0.673239016855712,0.8406301160667704,-0.100183193654066,-0.020623843889443,0.740391301196895,0.5007538287886385,0.86606034122933,0.886746672286289,-1.279094223882262,0.38264644983603857,-0.9175126854299397,0.7825011186085112,-1.7072017719472208,2.0,0.3062534980843594,-11.273545213908285,2.007140471816863e-14,3.118236090144055e-12,11.506091006284706
ANPEP,-0.8647470717747016,-1.080859966355886,-0.628521357091943,-0.8316200681167769,-0.2311264553866725,-0.11037403452380548,-0.5432613966022781,-0.28585621644319503,0.493617830750088,-1.1141795463639586,-1.2472769413150195,-0.11772207242078198,-0.1732699571566585,0.065726388996102,-1.0699014600923165,-0.3755281673669605,-0.5500146498726219,0.6561348844838855,-0.1262737223740275,-0.3714164002146235,-0.3941996028884455,-0.8086452696579887,0.0413831560587465,0.1302727398363045,0.49362079371576645,-0.8848289644368229,-0.081035633851822,0.7715474128831504,0.10624033061236599,-0.46209601838971803,0.7646395546991435,-0.35490096930854853,-0.6692256769157444,-0.4476414068614095,-0.6096647808543555,0.15772208644633848,0.023442122010019502,0.5767046536892885,0.2059226074981505,-0.04609259638028151,0.159604183355324,0.302233512131133,-0.40273218398567856,-0.38683717229277853,0.29100154589701205,0.0967179206247495,0.224597235397143,-0.10571531437649151,-0.0422634230615655,0.339436864688479,0.47100012931395047,-0.09006684204362,-1.0343557649821515,0.3033174092149,1.0998088240488055,-0.7802267863226285,-0.6152208918256514,1.7060791714526145,0.37132080763021147,-0.1969956535920385,1.0657822692864993,-0.48001686957083806,-0.712195981940716,0.089937622409343,-0.12137027616169849,1.1905094700490075,2.0820594166826716,0.5875443917563344,0.186061533980994,0.09274560563582301,0.068098250981056,-0.12541854829897298,-0.35532199980328655,-0.09223609682044899,-1.4597418761767516,-0.37898915785805304,-0.2636852092158375,0.345904252505328,-0.4753723127825465,1.2640425354685463,0.1551538764949945,0.1769592511147755,-1.004622582920918,-0.40745072610137256,0.116341622909305,0.5244710322967975,-0.41732857087739494,-0.6264461536339285,0.2169839263404575,-0.753632932678395,-0.8715924378238554,-0.6833257257847305,0.0656078704322535,0.884161835458984,0.070072337331467,1.9246869877537525,-1.1470584610859975,-0.8252382281211161,-1.5316368240300455,-1.2198966447616895,-0.4542428989575126,-0.9580905482195449,0.09163035579532651,-0.50252262467024,0.10152636903551851,-1.4067933025101775,-1.3843934998124547,-0.7221511798383279,-0.43658535804252246,-0.297725881019532,0.50338560283159,-0.8617459127713984,-0.1837004528715785,-0.192890656109333,-0.5405972609330135,-0.40847900000362697,0.9647107252258166,0.21752952611325402,-0.135709149329693,-1.1052064177834975,0.191784076879114,-0.49111066881347554,-0.5454611950712529,0.12565237669739152,-0.462405272391195,0.46764250759487797,0.165398248656832,0.09628346886159748,0.24243704109709202,0.13874774754416602,-1.1805045767854219,0.46443518413435647,-0.8409915773379358,0.07160171367089847,-1.0157196998921056,2.0,0.4945815407227337,-7.915237215234077,6.252383361234748e-10,1.853109737785459e-08,7.732098861790909
AOC3,-0.37160193939870345,-1.0456688692445362,-1.475589054206646,-0.5263391753253739,-0.6113525541772704,0.9522613658853296,-0.25379688199991807,0.8213983068563919,0.5804895090419259,-1.0377883049312187,-1.3866312191802397,-1.549469661089585,-0.5159946409016855,1.455994944475858,-0.27454059168765654,1.6224551427461684,-0.36425574300197494,1.1671462873124234,0.7705469498531455,-0.2068152123865915,0.06223177270469551,-1.0506719153813344,-0.5603930778795265,-1.3280062335842473,0.5952020080977946,-0.279736069492251,1.440392644150598,-0.8171054272871364,0.805629211229015,-0.31636123742295297,-1.6305132732420113,-0.6127159739815405,-1.4604078962851024,-0.17946434935028552,0.9345170983501865,1.4232998309265468,-0.3331081469907495,0.6268879910604316,1.0942502500564524,-0.7316131780100966,-0.34335883774040404,1.7795150041827958,-0.7649691209887314,-0.5408724344789106,-0.898946523239059,-0.3254023959226815,1.6838977525409944,-0.22649253978673847,-0.7827514077270304,-0.47933172430792303,1.8283948984484153,-0.392566742338926,-0.42262855086522255,-0.125560058970411,-0.14893928223818148,-1.1920242956582043,-1.1513217498491284,0.30733154811398644,1.5492086178242723,-0.024129279189098497,-0.6195877569312775,-1.1831756200202799,-0.8785902769559509,0.394439631626241,0.6528737892100375,-0.6868837854062305,0.315981746453111,-0.5495965280044186,-0.29477935749086404,-0.333443631857044,-0.28792329719212695,1.465742543611042,-0.7428650531739586,-0.5214143125549741,-0.6696992963925265,-1.4674576893734308,0.7277604697413945,-1.044500256345615,-0.8404247498981585,-0.9914322009354934,0.5079400625626475,-0.7180826458744176,-0.750888955958042,1.6157750214820976,-0.47429185189567896,2.5578063506336868,0.41902897427059,-0.36350001078109845,1.6315462507214646,0.266459589060607,-0.6998390797194286,-2.0612684164471564,-1.3994143834022625,-0.8864979458448989,-1.5361117708183363,0.21852757240980752,-1.8083854045434975,-1.6161419868444609,-0.9287189517342604,-1.4140717001682697,-1.2282240469726917,-1.99724015078958,-1.2302223215689896,-0.633405041393392,-0.1532613679538565,-0.9550786003954054,-1.1955447626044446,-0.7097081553788209,-0.8974752905415965,0.520674623875525,-0.51807419589263,-0.6990870414436835,0.8470293717962324,0.6629690433824841,-0.7538391914359566,0.950875927772162,-0.16581626845178646,1.481446963541374,0.644878359514827,-0.49782958926900844,1.588824353505819,-0.056745552520992504,1.020598900464025,1.1757146844724227,1.565370614532335,0.20763160865926303,0.9955892768497718,0.4483404918241835,1.049288949691002,1.7328406496599322,-0.743818301474631,-0.5538877277182195,-0.7559881709950855,0.4561612816448026,-1.3786076994195338,2.0,0.3845897720361333,-5.376047225307673,2.930031504893395e-06,2.2679069477377703e-05,4.644374768523866
ASPN,-1.0959609119384093,-1.000181235372646,-1.6936800107977759,1.3110605577714338,-0.8007956388467444,-0.2761659793131755,-0.5299916055794551,0.699650682291695,0.276301078317809,-1.1355989033077987,-0.8414419130583554,-1.7683970404547746,-1.2472735875515875,0.175920926387984,-1.2795522216026465,0.6339615336165715,-0.25644427192398,2.677154141139243,0.7641325687052015,0.1519367183942305,0.25480902898534347,-1.5359436484368945,-0.6512050717101124,-0.7455960137521885,1.3523949981290586,-0.32159644813471194,1.1991209190710381,-0.6269865294143965,0.7749089398228379,-0.6472804636858019,-1.8973346132865214,-1.9619713845333044,-2.119966647038192,-0.05892478532362151,0.9284284636230895,0.21505765914173652,-0.6635002167064916,0.27981547023443554,0.1442632722605065,-1.1584669476179845,0.47858711222379,0.34043618924388797,0.0662959036744405,0.7704476764352695,-0.6320768833825979,-1.0701077247473696,0.24725567300956103,-1.1855995066993585,-0.9909870077999224,-0.5125756495335659,0.6434766624577805,-1.052531019725647,-1.3292998221903716,-1.9871991569503302,-0.8072443090606026,-0.9376455567047786,-1.4644049381417887,-0.35180180394477456,0.43760522364976956,1.2892450145241174,-0.9856445986881186,-1.85903287729633,-1.6168598812463744,0.32115294500123703,0.9027517350645036,-1.0069467592946426,-0.058454289528388007,-0.3582535582515586,0.060050212521803,-0.7934955392859581,-0.581417523256449,1.1585283593263118,-0.9430598928399665,-1.255073876458035,-1.6333421364816816,-0.565594515301145,-0.1156063727999755,0.7472323910903549,-0.8120399245624687,-0.7690419430023905,1.0491271902926373,-0.21957103313396453,-0.8317092423256609,0.6489227132727935,-0.038085363031805985,2.2212591959664767,0.8898366919361081,-1.5115978398032444,0.16514115828677947,-0.65812103952164,-0.9963626669110696,-0.8728403836864965,-1.2206231289278624,0.5354387559977279,-0.9252170501765469,0.2848495020214805,-1.2639121429879077,-1.2781745080519509,-1.2744203332696356,-1.0449399753926993,-0.9451378166138245,-1.3221821909107698,-1.0786612379242195,-0.797927451215836,0.3422990203765385,-1.0426341864241777,-1.0653975742488544,-0.975842752885712,-0.9463680875581404,0.6070115970165859,-0.6306565107211151,-0.9157479881228315,0.3482672239917325,0.249615714459761,-0.024955700850184497,0.7944733863010299,0.8765917925340037,0.12434606212511497,0.585638818668067,-1.0129294852810635,0.199202901513753,-0.6912464212231485,-0.012893956094135,0.0585921455963565,2.0535622908110254,0.44248226983683897,0.18790304746471204,0.5501395011592316,0.44797964827245806,0.13569939378994902,-1.214801432949022,0.0143451058287445,-0.8817283524814287,0.3585910670150089,-1.4813918439045313,2.0,0.358143125740156,-6.56059792449096,5.588166978368522e-08,7.668304844133461e-07,6.115300630601823
BASP1,0.060864402213084506,-0.033067971151291,-0.537661487069243,0.30686944051093595,0.08643271332587349,-0.14009042540074548,-0.4044379702048091,0.298917335583975,0.37560450315097593,-1.6145352824022785,-1.6775289541523595,-0.5321615312152771,-0.7990487549139353,0.24353030900090303,0.042042915297141506,-0.0038454538906204996,-0.714866008728186,1.1227477617713135,0.5514141573191504,0.21027516922470849,0.5791403730666915,-1.1554449784337546,0.41903725516734547,-0.6108745233316014,-0.5301639736816394,-0.086885384213882,0.37222460973256094,0.14325875927137652,0.550785532300256,0.392753141590549,0.010310337076941501,0.0344454812486285,-0.3183104464084935,-0.8584511213436754,0.7755433160033214,0.3119986288605445,-0.6023930866044865,0.04127690853037551,0.8457458948494034,-0.7015994564871446,0.208285107629959,0.29328582952018795,-1.0799030302285335,0.14916199134400548,-0.119800809360072,-0.15364396540934352,0.4256606256546319,-0.5729943981497956,-0.5786545821156835,-0.13233481435997502,0.1803422349363945,1.659329655380213,-0.1841414147655655,1.0861391387176498,0.20223608159316447,-0.08384012521010048,-0.24112404613720748,0.9591804783073136,0.8251695885441225,-0.2406150927454395,0.08377914496355651,-1.14543841717909,-0.8043737890801639,-0.28464021685041396,0.30378516837199554,-0.6058296691820305,-0.119150331765233,0.5797293989697415,0.143633446130829,0.7370531053797651,-0.130690362596044,0.517711747536125,-0.6237896340299165,-0.5662300078438741,-0.9726715932464836,-0.8936623075577281,0.4165815947539755,0.543758450962475,0.7491119103402744,-1.0512096956708936,0.4465341855890765,0.49665405147573444,-0.938033965117535,1.7937242894478076,-0.47294074887589793,1.1612603444133462,0.6517330722496181,-1.1070387809059845,0.3627152324633145,-0.54269158513288,-1.2627926493156196,-1.9607258916867667,-0.5544744465859054,0.34920815936600497,-1.582338671405746,-0.6534389552872774,-0.1151422547192225,-0.5462190476341571,-0.6809219962651365,-0.8306186139911966,-0.2138052835217025,-1.1722547761586801,-0.1034706149880975,0.7870768302791141,0.8019507543431555,0.28019225125372754,0.06017010887129649,0.280490751261378,-1.3098641150427925,0.29066949924295105,0.24079520181288,-1.0182375615398074,1.1593679066991596,0.35154689005709,-1.3583151456122966,0.7719653185680001,-0.6653201687600495,0.32820311517236395,0.632509064872459,-0.6647669140032786,0.39938016664490006,1.1095636006879592,0.5968203609044771,0.38525427489030856,-0.5298508926359271,-0.38754214179979307,0.330741861649178,0.6215402858985465,0.998574815953785,0.379576434273073,-0.261682420890381,-0.3417094701546675,-0.3867606450669717,0.48160824388531187,-1.0964689120022235,2.0,0.4676597230943486,-5.040213699526032,8.872504081657152e-06,6.002393896610982e-05,4.221675508159504
C1R,0.1245032439251875,-0.626274359086421,-0.5110825140189681,-0.008807622138257998,-0.2838558290529335,0.22018743118298048,-0.2051306428460751,0.185443341758597,0.630725573668996,-0.7869534984830543,-0.2445222738502015,-0.29652590890243896,-0.7420719462874945,0.25641100968145103,-0.6754461299215524,0.4638061298887235,-0.46634689121467204,0.7402431415166806,0.5433732617103125,0.24011170222932848,-0.012886140218306499,-0.25057373304292146,0.40682486938966345,0.2828878691549805,-0.27739672394548853,0.28243150485752505,0.06679960156478,0.6022985945178564,0.352579953661436,-0.020556233942243006,0.6301725350875164,-0.0602147946729935,0.2478676892847115,0.48160665936836855,0.3287574383255215,0.26922528943726554,-0.4207552313981825,0.2710601644790535,0.47615320078081247,-0.5344501296715786,0.493667401634853,0.47892817356991496,-0.5264958576198325,0.5006571723256155,0.36199062985391905,0.3959634357340835,0.19324237937091399,0.27066289706527347,-0.16689774816800151,0.45223308608936397,0.2807966367475115,-0.4824885045978471,-0.5331503285047096,-0.07903539253570901,-0.40706353522680455,-0.11980104872885251,-0.1811582726857185,-0.43623555110966045,0.7201316052679725,-0.20848289458827252,-0.1373479367714505,-0.5892423130123199,-0.14084323901016702,-0.041356567608476,0.48763393063381955,0.2345850911867515,-0.12646979269889802,0.4910116192056795,0.101946122960393,0.994768084803819,0.15688708057012998,0.367596233765196,-0.09131420700941151,0.543148966129021,-0.6579039170880926,-0.21802729249114702,0.6865041216056834,0.7063120672687819,0.26138795921140046,-0.21710628180886954,0.17060872552457446,0.5118611852285335,-0.98518056189832,-0.17619322760656447,0.647828123410657,1.7296173390302165,0.602559342424204,0.2224030489183165,0.30399353653881844,0.457777283796423,-0.5570957318675074,-0.6020313573819505,0.0015136387318505015,0.42640631915245897,-0.517038091638208,-0.12878006200419248,0.1213905629448065,-0.317766508010737,0.5760781165074865,-0.7095452983422744,-0.28313646205903853,-0.23332110872623302,0.2260268664023005,0.49727172155280497,0.5752990531347205,-0.7256748012118154,-0.12870931386528547,-0.18441046414431897,0.0644005437414385,0.09958634901209999,-0.22457405003626196,-0.8906109841124216,0.5445372436890366,0.19333073317066596,-0.7451985708429595,-0.542025034731769,-0.35092042234262655,0.36045588529990497,0.4633359509831131,-0.3983616867580065,0.32928752429641905,0.04917272166931651,0.180638125651487,0.3180975921033725,-0.0013592763007680003,0.160651644789462,0.23986538974352603,0.25386059573283654,0.469082136984439,0.242511946472299,-1.108751929167882,-0.10261797353789952,-0.5538386859622233,0.44402386308309266,-1.014385811460514,2.0,0.4950390328826663,-14.303880882301794,5.970244673732462e-18,6.492641082684052e-15,14.187578604538018
C1S,0.0467582817964035,-0.49996865325278395,-0.491921095849158,0.06524284736350801,-0.2749705838911355,0.18833189927162947,-0.3753731070529031,0.519751380325092,0.663190406710685,-0.7364152505399835,-0.18690159853643148,-0.31271205725175893,-0.6381517252516294,0.410516903673053,-0.7817060719269037,0.4110551082820305,-0.45878304820831106,0.9081492521954585,0.5801882653935735,0.3689594120326064,0.0576774445207825,-0.26033402668486955,0.3841815830237405,0.25164878305023447,-0.0554687053153765,0.366921686561705,0.32273757414954496,0.4931777026625925,0.5716332625850129,-0.32161167298726895,0.3696641812439515,0.1076503409086025,0.1012753631031875,0.5034516111355655,0.7417591558190595,0.22150376945233252,-0.30667209053582556,0.3191450126174395,0.46351083657918457,-0.6442786157248526,0.5229902155085799,0.470532616587401,-0.4656359724391206,0.16323953592534649,0.21299656456556199,0.28547115097537046,0.39988267206921,0.3440427222662945,-0.33114250176279947,0.22665808345452698,0.2292196623468595,-0.31461758551251906,-0.4910555537058504,-0.038631504437094,-0.28500096827221344,0.1130630062481395,-0.22202664137840955,-0.3553934073003035,0.9575854181975066,-0.1356793232203545,-0.1720124831674915,-0.327894531434969,-0.190579480349313,0.006001897983334999,0.4362777000039525,0.3275648708133395,-0.013818340028329998,0.5738088816036064,0.191568336477867,0.921247193759341,0.23040733553019502,0.7084119530380409,-0.1452187279586265,0.5745391033544369,-0.8261802219019945,-0.38648346906082803,0.7239487458248595,0.969155088229736,0.1463144026329025,-0.41550526062167054,0.3989351593095185,0.6088706890825554,-0.78743100522204,0.9276192560511484,0.824215681774429,1.9277610409639265,0.585344279631995,0.6880185335772805,0.3685318740318155,0.124231157959013,-0.8054341321849304,-1.0919692420400267,-0.06244531519007349,0.533943220755433,-0.399758145564285,-0.2089918958371415,-0.3550816646241035,-0.429539650219186,0.3159805354585825,-0.6019125024024224,-0.48403179722573053,0.032735567177225,0.5592863898340135,0.524981874306763,0.7425035465692965,-0.6496550915390005,0.0998486008791865,-0.13852031628382402,-0.041454498334762495,0.14212575391944499,-0.051809091894032,-0.8499014481316184,0.5605877410474105,0.22699657235777101,-0.8412372282001225,-0.4256625776183561,-0.31689010569059356,0.423018922103793,0.673274393401752,-0.6006097231744134,0.285056579217373,0.1378496740856685,0.272701296536088,0.42742118825456155,0.021498177607411,0.071302128177621,0.313761744661432,0.2821000194448725,0.568482115935698,0.399244832497632,-1.257296056126512,-0.0667577283584925,-0.5661131064058842,0.5268143266270189,-1.1618487067817378,2.0,0.4469394485760107,-13.876218620975958,1.7543959109522353e-17,1.2719370354403707e-14,13.895534386987624
