Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM2860842091208	HALLMARK_ADIPOGENESIS	3/200	0.17588574126789716	0.3515568900921246	CD36;FABP4;MYLK
CUSTOM2860842091208	HALLMARK_ANDROGEN_RESPONSE	1/101	0.5219257222664285	0.6263108667197143	ALDH1A3
CUSTOM2860842091208	HALLMARK_ANGIOGENESIS	4/36	0.00012298407651017978	0.0018857558398227567	POSTN;VCAN;LUM;COL5A2
CUSTOM2860842091208	HALLMARK_APICAL_JUNCTION	7/200	0.0005617963446652351	0.007752789556380244	CDH11;MYL9;VCAN;CALB2;CNN2;ACTG2;MMP2
CUSTOM2860842091208	HALLMARK_APOPTOSIS	3/161	0.11066598395722094	0.2814723642828815	DCN;LUM;MMP2
CUSTOM2860842091208	HALLMARK_COAGULATION	5/138	0.0031207036949205576	0.03338991884706886	FN1;THBS1;C1R;C1S;MMP2
CUSTOM2860842091208	HALLMARK_COMPLEMENT	4/200	0.05632387492387891	0.23553620422712998	C1R;CD36;FN1;C1S
CUSTOM2860842091208	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	31/200	5.028551349044538e-35	6.939400861681462e-33	CDH11;MYL9;COL5A1;LGALS1;THBS2;FBLN1;CALD1;MXRA5;TNC;ECM1;MYLK;COL5A2;TPM2;DCN;CTHRC1;COL11A1;ANPEP;NNMT;FBLN2;FN1;POSTN;COL12A1;BASP1;LUM;NT5E;FAP;VCAN;TAGLN;THBS1;TPM1;MMP2
CUSTOM2860842091208	HALLMARK_ESTROGEN_RESPONSE_EARLY	2/200	0.42676915418736955	0.5650072316049632	CALB2;PDLIM3
CUSTOM2860842091208	HALLMARK_ESTROGEN_RESPONSE_LATE	2/200	0.42676915418736955	0.5650072316049632	TPSAB1;PDLIM3
CUSTOM2860842091208	HALLMARK_FATTY_ACID_METABOLISM	4/158	0.027157261696414428	0.14990808456420765	S100A10;CD36;LGALS1;AOC3
CUSTOM2860842091208	HALLMARK_GLYCOLYSIS	4/200	0.05632387492387891	0.23553620422712998	DCN;COL5A1;NT5E;VCAN
CUSTOM2860842091208	HALLMARK_HYPOXIA	2/200	0.42676915418736955	0.5650072316049632	DCN;COL5A1
CUSTOM2860842091208	HALLMARK_IL2_STAT5_SIGNALING	2/200	0.42676915418736955	0.5650072316049632	ECM1;NT5E
CUSTOM2860842091208	HALLMARK_IL6_JAK_STAT3_SIGNALING	1/87	0.47014879577328345	0.5952342551992029	CD36
CUSTOM2860842091208	HALLMARK_INFLAMMATORY_RESPONSE	1/200	0.7701054160857431	0.7930936374614369	CYBB
CUSTOM2860842091208	HALLMARK_INTERFERON_ALPHA_RESPONSE	1/97	0.5076628055219233	0.6243795229227106	C1S
CUSTOM2860842091208	HALLMARK_INTERFERON_GAMMA_RESPONSE	2/200	0.42676915418736955	0.5650072316049632	C1R;C1S
CUSTOM2860842091208	HALLMARK_KRAS_SIGNALING_DN	1/200	0.7701054160857431	0.7930936374614369	COPZ2
CUSTOM2860842091208	HALLMARK_KRAS_SIGNALING_UP	1/200	0.7701054160857431	0.7930936374614369	ALDH1A3
CUSTOM2860842091208	HALLMARK_MITOTIC_SPINDLE	1/200	0.7701054160857431	0.7930936374614369	PALLD
CUSTOM2860842091208	HALLMARK_MTORC1_SIGNALING	1/200	0.7701054160857431	0.7930936374614369	CORO1A
CUSTOM2860842091208	HALLMARK_MYOGENESIS	8/200	8.74524090465858e-05	0.0015085540560536052	CRYAB;AEBP1;TAGLN;PDLIM7;CD36;MYLK;TPM2;PTGIS
CUSTOM2860842091208	HALLMARK_P53_PATHWAY	1/200	0.7701054160857431	0.7930936374614369	S100A10
CUSTOM2860842091208	HALLMARK_TGF_BETA_SIGNALING	1/54	0.3252799912698154	0.504366728036343	THBS1
CUSTOM2860842091208	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1/200	0.7701054160857431	0.7930936374614369	TNC
CUSTOM2860842091208	HALLMARK_UV_RESPONSE_DN	2/144	0.2798879095228727	0.45440625310772276	COL11A1;COL5A2
CUSTOM2860842091208	HALLMARK_UV_RESPONSE_UP	1/158	0.686028626929388	0.7711240302581028	PDLIM3
CUSTOM2860842091208	HALLMARK_XENOBIOTIC_METABOLISM	2/200	0.42676915418736955	0.5650072316049632	CD36;FBLN1
CUSTOM2860842091208	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1/67	0.38649014824493644	0.5650072316049632	CD36
CUSTOM2860842091208	KEGG_ARACHIDONIC_ACID_METABOLISM	1/58	0.34472722615284956	0.5227731561438818	PTGIS
CUSTOM2860842091208	KEGG_BETA_ALANINE_METABOLISM	1/22	0.14784876258548932	0.32908272962576657	AOC3
