Gene,Variation
A1BG,0.37289313664317464
A2M,0.38252303389841885
AACS,0.29979933563361455
AAK1,0.19750592921639185
AAMDC,0.32173199489033183
AAMP,0.20275988029584674
AARS,0.1791221769031348
AARSD1,0.17859668540210577
AASDHPPT,0.22444700829118122
AATF,0.200888747200453
ABAT,0.5895801778802846
ABCB10,0.24131122875908426
ABCB6,0.24684473519398747
ABCB7,0.20579987472771993
ABCC1,0.2651640051856623
ABCC4,0.3854545134612803
ABCD3,0.2501869268090407
ABCE1,0.1333233564368238
ABCF1,0.17340297435283245
ABCF2,0.18937951147102483
ABCF3,0.1795246496931275
ABHD10,0.21508956893067024
ABHD11,0.30345363867145714
ABHD12,0.20112007513207583
ABHD14B,0.31424856043717486
ABHD16A,0.17038490083267946
ABI1,0.15954330128934752
ABLIM1,0.3084631202092801
ABRAXAS2,0.1557281800359017
ACAA1,0.23288631745395655
ACAA2,0.24611239308438762
ACACA,0.2229426924447266
ACAD10,0.27261740361938075
ACAD8,0.32862051069174
ACAD9,0.21425774191543814
ACADM,0.25930396731874167
ACADS,0.3186972513283091
ACADSB,0.299390545959187
ACADVL,0.21727681589932182
ACAP2,0.2075376268503161
ACAT1,0.2561809010230568
ACAT2,0.2503862412215355
ACBD3,0.11523301693235179
ACBD5,0.23818287100362992
ACBD6,0.23217959583689132
ACIN1,0.11055240605492758
ACLY,0.1773519407001917
ACO1,0.2245372825238229
ACO2,0.2611134702330191
ACOT1,0.24146635602584796
ACOT13,0.25869111672769357
ACOT7,0.23998577435000004
ACOT9,0.2118737532032576
ACOX1,0.22361327985495305
ACOX3,0.3354328048273485
ACP1,0.1985011115648191
ACPP,0.6859371138019298
ACSF2,0.3805910030686568
ACSF3,0.22427846001121438
ACSL1,0.31478311010448423
ACSL3,0.1416895275887038
ACSL4,0.21500385212337433
ACSS1,0.34638609533837744
ACSS2,0.23562493033226728
ACSS3,0.42370443463435475
ACTBL2,0.16398443616751457
ACTG2,0.4006828382915973
ACTL6A,0.1547019420848992
ACTN1,0.26645800705288425
ACTN4,0.2534337732899339
ACTR10,0.1479859650059961
ACTR1A,0.18502152370787062
ACTR1B,0.23382970711040324
ACTR2,0.11749744963802843
ACTR3,0.13396574479567974
ACY1,0.35492306265010026
ACYP1,0.3459687267698171
ACYP2,0.40092840449827827
ADA,0.21294126812067418
ADAM10,0.21538479732493512
ADAM17,0.13521818107918665
ADAR,0.12530289740749967
ADD1,0.18011974238470502
ADD2,0.29957820908935306
ADD3,0.19232649149835937
ADGRE5,0.23271621526798744
ADH1B,0.9364231018695575
ADH5,0.20483531130931842
ADI1,0.2607287513491675
ADIRF,0.6034890018384366
ADK,0.22362826915236914
ADNP,0.17528170622420391
ADPGK,0.1929608193697656
ADPRH,0.21777497321774475
ADPRHL2,0.22749595539302492
ADRM1,0.13057815902904718
ADSL,0.22562008918797577
ADSS,0.17673230523885392
AEBP1,0.5707662785974664
AFAP1L2,0.3882965635598928
AFDN,0.2735277318739784
AFG3L2,0.2568381867483236
AFM,0.43854663959520335
AGFG1,0.13096261402510156
AGK,0.20703325683092327
AGL,0.23643668655918457
AGO2,0.1592005066758822
AGO3,0.1651225172633032
AGPAT3,0.24988601686383752
AGPAT5,0.28690291389094696
AGPS,0.2239900362513846
AGRN,0.2197648559887307
AGT,0.4561322721130282
AGTRAP,0.2190479651699102
AHCTF1,0.11495525656219366
AHCY,0.1935450142722492
AHCYL1,0.20982195223322775
AHNAK,0.21101774377387567
AHNAK2,0.43620855551285115
AHSA1,0.21346258094741652
AHSG,0.4130922471075299
AIDA,0.16710666916783656
AIF1,0.3726221969976164
AIF1L,0.4873762332377122
AIFM1,0.30726062508002455
AIMP1,0.11701317959367663
AIMP2,0.1339877372379268
AIP,0.15610916339348743
AK1,0.40000116417036713
AK2,0.2695880894736731
AK3,0.30120154308203173
AK4,0.3544008807932343
AKAP1,0.19578429318299637
AKAP12,0.3820688266855214
AKAP13,0.12778976547206936
AKAP17A,0.22288848684239182
AKAP8,0.18858005209215004
AKAP8L,0.21934205304288973
