gene_id	external_gene_name	entrezgene
ENSG00000274672	TSEN34	79042
ENSG00000275474	RDH13	112724
ENSG00000280858	RPL7A	6130
ENSG00000277401	TJP1	7082
ENSG00000285224	VARS2	57176
ENSG00000278322	MBOAT7	79143
ENSG00000275796	NLRP2	55655
ENSG00000278712	TSEN34	79042
ENSG00000281309	SURF6	6838
ENSG00000142552	RCN3	57333
ENSG00000112379	ARFGEF3	57221
ENSG00000103642	LACTB	114294
ENSG00000170855	TRIAP1	51499
ENSG00000105732	ZNF574	64763
ENSG00000137955	RABGGTB	5876
ENSG00000143224	PPOX	5498
ENSG00000134285	FKBP11	51303
ENSG00000167962	ZNF598	90850
ENSG00000204983	PRSS1	5644
ENSG00000203667	COX20	116228
ENSG00000113296	THBS4	7060
ENSG00000231500	RPS18	6222
ENSG00000198860	TSEN15	116461
ENSG00000157379	DHRS1	115817
ENSG00000223501	VPS52	6293
ENSG00000116791	CRYZ	1429
ENSG00000139990	DCAF5	8816
ENSG00000160691	SHC1	6464
ENSG00000178904	DPY19L3	147991
ENSG00000116406	EDEM3	80267
ENSG00000179914	ITLN1	55600
ENSG00000162623	TYW3	127253
ENSG00000000938	FGR	2268
ENSG00000135842	FAM129A	116496
ENSG00000129351	ILF3	3609
ENSG00000121481	RNF2	6045
ENSG00000121486	TRMT1L	81627
ENSG00000215845	TSTD1	100131187
ENSG00000103194	USP10	9100
ENSG00000158769	F11R	50848
ENSG00000274638	NLRP2	55655
ENSG00000161671	EMC10	284361
ENSG00000173171	MTX1	4580
ENSG00000170515	PA2G4	5036
ENSG00000070214	SLC44A1	23446
ENSG00000167987	VPS37C	55048
ENSG00000027697	IFNGR1	3459
ENSG00000206235	TAP2	6891
ENSG00000100599	RIN3	79890
ENSG00000163348	PYGO2	90780
ENSG00000163344	PMVK	10654
ENSG00000105404	RABAC1	10567
ENSG00000171453	POLR1C	9533
ENSG00000164309	CMYA5	202333
ENSG00000118137	APOA1	335
ENSG00000183495	EP400	57634
ENSG00000116786	PLEKHM2	23207
ENSG00000177192	PUS1	80324
ENSG00000119711	ALDH6A1	4329
ENSG00000152413	HOMER1	9456
ENSG00000119723	COQ6	51004
ENSG00000108984	MAP2K6	5608
ENSG00000116260	QSOX1	5768
ENSG00000143337	TOR1AIP1	26092
ENSG00000236697	GPSM3	63940
ENSG00000127554	GFER	2671
ENSG00000122970	IFT81	28981
ENSG00000127191	TRAF2	7186
ENSG00000176903	PNMA1	9240
ENSG00000124279	FASTKD3	79072
ENSG00000143669	LYST	1130
ENSG00000123545	NDUFAF4	29078
ENSG00000165671	NSD1	64324
ENSG00000132693	CRP	1401
ENSG00000143612	C1orf43	25912
ENSG00000168264	IRF2BP2	359948
ENSG00000070756	PABPC1	26986
ENSG00000134202	GSTM3	2947
ENSG00000161011	SQSTM1	8878
ENSG00000118733	OLFM3	118427
ENSG00000184227	ACOT1	641371
ENSG00000121413	ZSCAN18	65982
ENSG00000168765	GSTM4	2948
ENSG00000106477	CEP41	95681
ENSG00000214114	MYCBP	26292
ENSG00000105607	GCDH	2639
ENSG00000196498	NCOR2	9612
ENSG00000105329	TGFB1	7040
ENSG00000105612	DNASE2	1777
ENSG00000230624	DDX39B	7919
ENSG00000230624	DDX39B	100532737
ENSG00000171806	METTL18	92342
ENSG00000165821	SALL2	6297
ENSG00000167644	C19orf33	64073
ENSG00000124356	STAMBP	10617
ENSG00000119392	GLE1	2733
ENSG00000198805	PNP	4860
ENSG00000169418	NPR1	4881
ENSG00000115464	USP34	9736
ENSG00000143314	MRPL24	79590
ENSG00000253710	ALG11	440138
ENSG00000005436	GCFC2	6936
ENSG00000143196	DPT	1805
ENSG00000148153	INIP	58493
ENSG00000143384	MCL1	4170
ENSG00000172889	EGFL7	51162
ENSG00000046889	PREX2	80243
ENSG00000164187	LMBRD2	92255
ENSG00000150977	RILPL2	196383
ENSG00000145781	COMMD10	51397
ENSG00000166226	CCT2	10576
ENSG00000142583	SLC2A5	6518
ENSG00000156860	FBRS	64319
ENSG00000188026	RILPL1	353116
ENSG00000143156	NME7	29922
ENSG00000115364	MRPL19	9801
ENSG00000134001	EIF2S1	1965
ENSG00000146858	ZC3HAV1L	92092
ENSG00000128050	PAICS	10606
ENSG00000173230	GOLGB1	2804
ENSG00000072415	MPP5	64398
ENSG00000204084	INPP5B	3633
ENSG00000143321	HDGF	3068
ENSG00000184371	CSF1	1435
