,Count
09-1664,4350
61-2094,4350
25-1312,4350
13-1409,4350
24-1416,4350
29-1769,4350
13-1489,4350
13-1482,4350
13-1504,4350
13-1492,4350
36-2530,4350
25-2409,4350
13-1497,4350
OVARIAN-CONTROL.1,4350
61-1995,4350
13-2065,4350
61-1918,4350
61-2613,4350
23-1122,4350
24-1464,4350
25-1322,4350
24-1103,4350
24-2289,4350
13-1511,4350
24-1431,4350
36-1570,4350
13-1488,4350
24-1435,4350
30-1887,4350
23-1121,4350
24-1436,4350
13-2061,4350
36-2537,4350
24-1474,4350
13-1501,4350
OVARIAN-CONTROL.2,4350
24-1555,4350
24-1562,4350
25-1628,4350
24-1558,4350
29-1705,4350
OVARIAN-CONTROL.3,4350
24-1920,4350
30-1891,4350
61-2008,4350
24-1927,4350
OVARIAN-CONTROL.4,4350
36-2544,4350
24-2024,4350
29-1693,4350
13-1485,4350
24-2030,4350
29-1702,4350
24-2033,4350
24-2298,4350
24-1544,4350
61-1914,4350
25-1313,4350
29-1766,4350
24-2261,4350
25-1318,4350
36-2532,4350
13-2059,4350
25-2399,4350
29-1698,4350
09-2056,4350
29-1688,4350
13-1494,4350
13-1507,4350
29-1690,4350
25-1631,4350
13-1500,4350
29-1696,4350
29-1771,4350
13-2066,4350
29-1711,4350
13-1483,4350
24-1422,4350
29-1763,4350
25-2397,4350
29-2427,4350
29-1785,4350
61-2088,4350
25-1623,4350
36-1577,4350
29-1768,4350
36-1569,4350
36-2534,4350
OVARIAN-CONTROL.5,4350
36-2549,4350
36-2547,4350
36-1578,4350
36-2542,4350
59-2351,4350
24-2290,4350
59-2348,4350
59-2352,4350
61-1915,4350
24-1565,4350
59-2372,4350
24-1548,4350
29-1762,4350
61-1727,4350
25-1323,4350
36-1580,4350
61-1741,4350
61-1911,4350
13-1404,4350
61-1907,4350
25-1329,4350
24-1557,4350
61-1910,4350
29-1770,4350
13-1410,4350
61-2087,4350
29-2431,4350
61-1724,4350
OVARIAN-CONTROL.10,4350
29-1710,4350
36-1571,4350
OVARIAN-CONTROL.6,4350
24-1553,4350
13-1487,4350
OVARIAN-CONTROL.7,4350
25-2396,4350
36-2545,4350
OVARIAN-CONTROL.8,4350
25-2404,4350
24-1430,4350
OVARIAN-CONTROL.9,4350
29-1697,4350
13-2060,4350
