Index,age_at_diagnosis_coef,Gene_coef,age_at_diagnosis_p,Gene_p,Gene_p_adjust,neglogP,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
A1BG,-19.856556876632318,-297.85537398120147,0.0061291637780359455,0.14565574402236253,0.762631838822359,0.11768506749111968,Other Genes
A2M,-18.181850753757825,-34.60550740121357,0.011814447767732507,0.8332379309435518,0.9513346455654725,0.02166668689255778,Other Genes
AACS,-18.267781081240862,-253.06422214972218,0.01065994293020825,0.22192117425043534,0.77160254263575,0.11260634990988416,Other Genes
AAK1,-17.651748140023187,-540.2570045692829,0.012469178377232054,0.07162401197929243,0.6881721653097252,0.16230289738910933,Other Genes
AAMDC,-18.655573238439025,294.48737864888017,0.008918270016270562,0.1377183960309577,0.762631838822359,0.11768506749111968,Other Genes
AAMP,-18.134047576738237,-25.871046381398287,0.012153779343398993,0.9391867525271037,0.9871336653619066,0.005624036592058262,Other Genes
AARS,-18.506116445056122,-91.05785244366979,0.01188709039639867,0.8033474423181934,0.9443006151257499,0.024889727410490562,Other Genes
AARSD1,-17.970729275534808,-281.5293677950838,0.012403150860810164,0.38666785049332975,0.8343279512132858,0.07866320666866261,Other Genes
AASDHPPT,-18.88864778899638,131.1360821208304,0.010504755622296328,0.631953635013466,0.9058494340803027,0.04294398265672655,Other Genes
AATF,-18.549755783312794,112.27719178087888,0.01114554795428044,0.7268076350792522,0.9273261018332117,0.032767515777701206,Other Genes
ABAT,-20.531654021342703,177.84677622518834,0.005565931066217857,0.19047545319371512,0.7684155789089095,0.11440383880567512,Other Genes
ABCB10,-18.918406428437656,-167.00550641387971,0.0095098563651211,0.4895832754303898,0.8613670877093141,0.06481172637339942,Other Genes
ABCB6,-18.175831924796558,126.00447084498131,0.011737536647329221,0.641620140570711,0.9073626825366037,0.04221908610339222,Other Genes
ABCB7,-18.202426637636616,-58.949450895359234,0.011745750273620736,0.8330654155526012,0.9513346455654725,0.02166668689255778,Other Genes
ABCC1,-18.003158054875364,-130.43754560533762,0.012640829132309215,0.6549101084383175,0.9120532546687853,0.03997980253392004,Other Genes
ABCC4,-19.832621439545957,-139.71510547195606,0.008334874382104741,0.42428011665333476,0.8431281478193622,0.074106411542328,Other Genes
ABCD3,-19.861189378195185,468.2130926084107,0.005627381617682055,0.08109736469826258,0.6930753097786261,0.1592195722507178,Other Genes
ABCE1,-17.51304628696668,-443.0941324081457,0.014799263378699686,0.29432643580191503,0.798011108736668,0.09799106299832303,Other Genes
ABCF1,-20.540893967810042,499.8664067157055,0.0053338025836316616,0.16449495299543118,0.7660160798138202,0.11576211378630473,Other Genes
ABCF2,-18.159639968220947,464.9921916321112,0.01082312942698887,0.15527881779667632,0.7660160798138202,0.11576211378630473,Other Genes
ABCF3,-18.233512755401378,-53.001825222367955,0.011783288306607909,0.8834642777753497,0.9668099643579299,0.014658882216224004,Other Genes
ABHD10,-17.173769830044055,-533.2497281471205,0.015078476286979437,0.06689060515523791,0.6881721653097252,0.16230289738910933,Other Genes
ABHD11,-18.142378319109326,-83.62301960801224,0.01191854819104436,0.6871799520819317,0.9200504539696036,0.036188356045995566,Other Genes
ABHD12,-18.513004156012347,487.0730283235435,0.009437468649215514,0.14640645242577713,0.762631838822359,0.11768506749111968,Other Genes
ABHD14B,-18.452073409759215,-150.34008925214536,0.010501492064358669,0.4523908224457843,0.8512766791408785,0.0699292640106115,Other Genes
ABHD16A,-18.01597457515229,105.21320027366187,0.012795739838969283,0.7865473803650109,0.9417784488268091,0.026051251950935075,Other Genes
ABI1,-17.954133024146728,559.4635465877669,0.011565612982308673,0.1289448516316736,0.7615626589557921,0.11829435848783995,Other Genes
ABLIM1,-18.01578770969272,61.50912131936231,0.012688693664961925,0.7381135418021871,0.9291423123922344,0.03191776205244736,Other Genes
ABRAXAS2,-17.458680763849767,485.5547191230652,0.014642850087181249,0.19773541784557885,0.7684155789089095,0.11440383880567512,Other Genes
ACAA1,-18.29949448846051,401.7024528390597,0.009997257180320745,0.1107442996215381,0.7471205343595989,0.12660932698731386,Other Genes
ACAA2,-18.157505562193492,123.06956433617262,0.011796427882803339,0.6134396809388978,0.9005134955762775,0.045509774226581416,Other Genes
ACACA,-18.141812176193397,-84.61921995175044,0.011964525915705541,0.7653750266618451,0.934956856495093,0.029208429147175016,Other Genes
ACAD10,-18.131543509318597,-31.432053436918295,0.012086207977251037,0.8892148235259354,0.9696877619297616,0.013368085425127563,Other Genes
ACAD8,-18.576094610008703,38.49324300725999,0.014938619508261726,0.8656997833640707,0.9633650697451286,0.01620910463977086,Other Genes
ACAD9,-17.52835915351256,-475.3732587907162,0.013262342565963915,0.08276585579529294,0.6950414531071898,0.15798929279284493,Other Genes
ACADM,-17.897278045542205,93.7073153238712,0.013418136648839136,0.6794109104982333,0.9191417360554187,0.0366175131618116,Other Genes
ACADS,-19.347037665244795,-205.20104475342177,0.007842193804862422,0.29088963307650184,0.798011108736668,0.09799106299832303,Other Genes
ACADSB,-18.410304763981628,-28.284519508387774,0.014597493846244545,0.9078350232975341,0.9776913741792072,0.009798216422943835,Other Genes
ACADVL,-17.5637972104442,-233.8964224118302,0.014815358139942197,0.37897952533187174,0.8313469163861029,0.0802177097511476,Other Genes
ACAP2,-16.694170455922187,369.758385373935,0.020495660752533146,0.1925644478627874,0.7684155789089095,0.11440383880567512,Other Genes
ACAT1,-18.692546039433566,-289.3270524006968,0.009281153669954157,0.2560985363474073,0.7875352308783823,0.10373000867000819,Other Genes
ACAT2,-17.43307876532224,362.4573672129184,0.01418405132982628,0.11736167078832078,0.7486062893608676,0.12574652851301357,Other Genes
ACBD3,-18.947151114244086,-871.0930343081616,0.007930290013228732,0.11687708558322309,0.7486062893608676,0.12574652851301357,Other Genes
ACBD5,-17.55848425339037,-278.66876006309747,0.014711172164618399,0.3441880162854202,0.8118420632099969,0.09052845074386533,Other Genes
ACBD6,-18.29589569734109,-313.14914771109903,0.010832246045141639,0.32711299178524544,0.8093911468573278,0.09184155024348548,Other Genes
ACIN1,-20.910454288539356,1119.2157381099687,0.0036525421456368046,0.03948265292122978,0.6705503742103048,0.1735685907880786,Other Genes
ACLY,-15.442649513313958,-723.5201766076611,0.02767665837889163,0.019537131687441568,0.5787836137259355,0.23748377293852785,Other Genes
ACO1,-16.961916885079674,410.6866471315942,0.01723993047945053,0.11306014603473709,0.7471205343595989,0.12660932698731386,Other Genes
ACO2,-19.671713599289568,-303.0281727519198,0.007211788549832464,0.27244979891850374,0.7912978002019415,0.10166004160407932,Other Genes
ACOT1,-17.579155659184984,295.6031501137611,0.01394325272172442,0.20301394983623106,0.7684155789089095,0.11440383880567512,Other Genes
ACOT13,-16.129431963953365,376.8277861872838,0.02514886351949569,0.1296803844776999,0.7623103682135061,0.11786817333335144,Other Genes
ACOT7,-17.126030117811982,205.72601548213586,0.01891270938763909,0.433014294100348,0.8450764253409231,0.07310401341366894,Other Genes
ACOT9,-18.162551658290123,-0.21273733383327453,0.012532142470835457,0.9994724186832208,0.9997225484741338,0.00012051238562516467,Other Genes
ACOX1,-18.287213564397106,108.20332663538171,0.01135976996552396,0.6879832235792624,0.9200504539696036,0.036188356045995566,Other Genes
ACOX3,-18.60414301077516,-122.03101113147433,0.010266591520597657,0.5392574637245657,0.873366938968493,0.05880325218489749,Other Genes
ACP1,-18.40706340400645,205.09851186539927,0.01079314137917963,0.5416821475218512,0.8743292548126353,0.05832498999644354,Other Genes
ACPP,-18.039467722588164,-68.24369325224822,0.012334087085107328,0.5723300374183631,0.8869394971277568,0.052106004700121805,Other Genes
ACSF2,-17.341608364748023,-149.0668110806622,0.016713438265504196,0.4146544371984995,0.8419731315343405,0.07470176718509505,Other Genes
ACSF3,-18.163917627323222,-0.6862853560457438,0.012463129297361724,0.9981109681287124,0.9997225484741338,0.00012051238562516467,Other Genes
ACSL1,-19.11123397979312,-170.67313377065025,0.008607213859474794,0.36208592566808495,0.8186454140624582,0.08690416669093133,Other Genes
ACSL3,-18.821343661192696,-489.0965564172533,0.008798219272173944,0.2254320328566826,0.77160254263575,0.11260634990988416,Other Genes
ACSL4,-18.84624828042068,-262.38053859573535,0.009016372430910264,0.3106059400764795,0.8049932012498136,0.09420778754785628,Other Genes
ACSS1,-18.211093951352723,112.92939660128258,0.011484282743143386,0.5265860913727858,0.8719640264452295,0.05950143185481666,Other Genes
ACSS2,-17.693768214564734,95.88844211055323,0.01539483488348376,0.6903572954720495,0.9206174847649955,0.0359207810552918,Other Genes
ACSS3,-14.114363476268974,-341.5584081641386,0.050281228682074554,0.03698628944048884,0.65803263440132,0.1817525674970445,Other Genes
ACTBL2,-17.721777436393637,-392.26469667693016,0.013170521102956693,0.20977871555210928,0.7684155789089095,0.11440383880567512,Other Genes
ACTG2,-19.02481362561175,-332.3837183357873,0.006655540417440161,0.02519936371764438,0.6022924844601817,0.22019255601891935,Other Genes
ACTL6A,-19.99261838222035,659.358222694618,0.0059336421284708965,0.14908459389722445,0.7641175445496085,0.1168398285674647,Other Genes
ACTN1,-18.491318508361342,-207.9767260398789,0.010138828511913023,0.335665139812538,0.8097224673706382,0.09166381018693102,Other Genes
ACTN4,-17.507084434735994,-556.3164486368638,0.012335806153526781,0.030726405023060215,0.6340292690038701,0.1978906931064904,Other Genes
ACTR10,-17.670862004933973,253.00124633364146,0.014551071731116468,0.510127135559291,0.8685139098563271,0.06122322163199887,Other Genes
ACTR1A,-18.91991719323524,-233.86574824223902,0.009242490654948914,0.42750598878806156,0.8444959152747908,0.0734024467180864,Other Genes
ACTR1B,-19.019668880225876,499.4695781045506,0.007158792297693682,0.05231329319407298,0.6834941781938039,0.16526518027549125,Other Genes
ACTR2,-19.26486440164749,-447.915990249772,0.008227770331397963,0.3398933132365455,0.8108043777539834,0.09108391509833641,Other Genes
ACTR3,-19.29672490341043,-414.2268401417395,0.008123121675026226,0.32980780604163107,0.8093911468573278,0.09184155024348548,Other Genes
ACY1,-17.24382225614743,264.5716651823874,0.015866663085341577,0.17212552290063252,0.766390744451717,0.11554974878574684,Other Genes
ACYP1,-18.321028662493156,85.35927705351133,0.01125071908068853,0.6799387614281613,0.9191417360554187,0.0366175131618116,Other Genes
ACYP2,-17.666345951061533,-49.08523071011955,0.018172947307915382,0.8025821792229134,0.9443006151257499,0.024889727410490562,Other Genes
ADA,-16.102665068844484,-540.3031206586313,0.022522433873938194,0.04023302245261829,0.6705503742103048,0.1735685907880786,Other Genes
ADAM10,-18.1347984635998,5.555040998476983,0.013792816690030288,0.9849022297724527,0.9977287779593041,0.0009875010414971993,Other Genes
ADAM17,-17.862133891628833,-162.10135334182257,0.013821899580515079,0.7083967430806775,0.9241808286064239,0.03424304481622999,Other Genes
ADAR,-18.109155818743286,-157.61363549448515,0.012129623008205411,0.7584391208531323,0.9340728498440636,0.029619251123769737,Other Genes
ADD1,-16.85859956588581,-359.4966037140451,0.021014224041722533,0.36648324314659664,0.8196411864718228,0.08637622668857406,Other Genes
ADD2,-17.845743779252423,-100.75701098973357,0.013657335561315402,0.6302349318577283,0.9053903413411882,0.043164142847834014,Other Genes
ADD3,-17.691228104170523,-117.7563310161881,0.016881651599822797,0.779361215335685,0.9389601971623911,0.027352817232414495,Other Genes
ADGRE5,-19.226689904299256,-646.8714381922305,0.005447915293331929,0.007609513989282619,0.5092520900519907,0.29306717991015707,Other Genes
ADH1B,-18.497574271966883,-48.07821439857989,0.010411596335430083,0.48053238782383534,0.8613670877093141,0.06481172637339942,Other Genes
ADH5,-17.671291212675087,-233.15138847220146,0.014300313520993656,0.4400298127600969,0.8450764253409231,0.07310401341366894,Other Genes
ADI1,-20.58958142276969,208.59834868545735,0.007645804036860485,0.3711657145406664,0.8237606419652544,0.08419896181592114,Other Genes
ADIRF,-20.128335873634455,-214.1052065814241,0.00447833317735809,0.027122603449134742,0.6087655844057486,0.21554990769141794,Other Genes
ADK,-18.667518302288315,-330.62191197804987,0.009360361372483245,0.25692082044815806,0.7875352308783823,0.10373000867000819,Other Genes
ADNP,-20.252686993273343,397.79287151829294,0.006973816334667372,0.3163204891521416,0.807282121585341,0.09297466548116733,Other Genes
ADPGK,-18.057149688450295,140.51254910168748,0.012330620887368192,0.6571223106420359,0.9126918531647198,0.03967582603542941,Other Genes
ADPRH,-17.674275239296605,-322.86314293844384,0.013734300002326639,0.2798934948310802,0.7965583381092269,0.09878241196438525,Other Genes
ADPRHL2,-17.91894786268424,-254.45746184068145,0.012730539795310402,0.4143291595443529,0.8419731315343405,0.07470176718509505,Other Genes
ADRM1,-17.951489556847,-156.1646279074962,0.01312224825491985,0.7208442757808109,0.9257964569372682,0.0334844856136292,Other Genes
ADSL,-18.090804850917557,78.91752131278383,0.012241648426610088,0.7679884575741609,0.9360672813826196,0.028692934506482512,Other Genes
ADSS,-16.238067673549356,530.072710448304,0.024452848921854113,0.1519468336862832,0.7656602987945248,0.11596387146616821,Other Genes
AEBP1,-19.124198651234238,-186.99503040788963,0.00757971661854617,0.1357635244527319,0.762631838822359,0.11768506749111968,Other Genes
AFAP1L2,-17.966236492297394,-49.53251545135811,0.013251428951042693,0.789586284426206,0.9420514422399414,0.02592538120824068,Other Genes
AFDN,-17.473218633942174,-116.90436577415593,0.016550385058434706,0.5595988892637045,0.8819765102525776,0.05454298131209622,Other Genes
AFG3L2,-17.975227153078567,141.79932220057393,0.012736738121099628,0.6052227572829246,0.8985353888278725,0.046464813524395736,Other Genes
AFM,-19.120716018692423,-117.76194325260141,0.009237440281032858,0.4848583630986427,0.8613670877093141,0.06481172637339942,Other Genes
AGFG1,-17.854858598097607,-111.51209564955207,0.014844038873062402,0.8115187713895892,0.9476114867212396,0.023369683502866893,Other Genes
AGK,-18.48049084921176,-276.09639160783763,0.010300628527004127,0.39489090799899373,0.8354204407451711,0.0780949027909962,Other Genes
AGL,-19.352643009484453,561.5115261096543,0.006344265804307355,0.052087393261372905,0.6834941781938039,0.16526518027549125,Other Genes
AGO2,-19.593038117425877,-298.84555789071067,0.008929706517079625,0.47327674681394516,0.8586675613880376,0.06617494350197516,Other Genes
AGO3,-17.83968643331648,-121.65178429947179,0.0144318328876219,0.7637566224285317,0.9349338569988896,0.029219112717306768,Other Genes
AGPAT3,-17.97237132269853,89.47677153609388,0.012984467528951577,0.7290376870114131,0.9273261018332117,0.032767515777701206,Other Genes
AGPAT5,-17.069469178115604,292.61479246686974,0.017966520778527426,0.2692983904104551,0.7897278079913939,0.10252256928770076,Other Genes
AGPS,-18.15118076425004,-47.2007774791221,0.01196026307106127,0.8786204618445848,0.9663714308530832,0.014855917719486383,Other Genes
AGRN,-18.00285721335766,118.6767891771137,0.012670241288605787,0.6740735700696532,0.9191417360554187,0.0366175131618116,Other Genes
AGT,-19.890843726618744,-236.6653785568971,0.00626487292569569,0.17452798758223415,0.766390744451717,0.11554974878574684,Other Genes
AGTRAP,-18.159556090759327,-287.70194238922375,0.01140973042970731,0.33414616837461975,0.8097224673706382,0.09166381018693102,Other Genes
AHCTF1,-19.319981552169086,1064.587110839109,0.006544978855862998,0.06280100918140255,0.6834941781938039,0.16526518027549125,Other Genes
AHCY,-18.150146103400367,-3.726061013893762,0.012952616671589846,0.9912871573024683,0.9985718488705583,0.000620681473885785,Other Genes
AHCYL1,-18.204798857737213,-15.344976782567471,0.012331469473420455,0.960280862475565,0.9912723663428352,0.003807000461539956,Other Genes
AHNAK,-19.20335519798333,-316.91210768748124,0.008063207551581143,0.2782091595182622,0.7953699535093287,0.0994308192735623,Other Genes
AHNAK2,-18.079676245894003,-41.759716876132266,0.012295285439398609,0.753992590875822,0.9340728498440636,0.029619251123769737,Other Genes
AHSA1,-17.006008307915714,634.8694945138388,0.015564846879630575,0.04272261357127363,0.6727218522775186,0.17216446473669716,Other Genes
AHSG,-19.95329800151665,-316.31949941145166,0.0051638089221437535,0.05243277080136826,0.6834941781938039,0.16526518027549125,Other Genes
AIDA,-18.23807993908807,-149.8517670890132,0.011512013234007627,0.673685664272013,0.9191417360554187,0.0366175131618116,Other Genes
AIF1,-18.7271378642969,-138.2002745128303,0.009466418833996012,0.35505737532475046,0.8168886216168214,0.08783715315501697,Other Genes
AIF1L,-17.959212672476674,98.4783549310572,0.012560393281908264,0.43778905568689064,0.8450764253409231,0.07310401341366894,Other Genes
AIFM1,-19.069403873915334,-183.3986257060232,0.00896125134652406,0.42380730614025575,0.8431281478193622,0.074106411542328,Other Genes
AIMP1,-18.37067015253668,496.88084324849,0.010603609809196248,0.35403492278861626,0.8168886216168214,0.08783715315501697,Other Genes
AIMP2,-18.043883321251474,289.5625991656093,0.012160790847035325,0.4578928502105293,0.8544975969179761,0.06828915429693663,Other Genes
AIP,-19.359434456677512,-478.3943358277288,0.00784361115400101,0.29566870622249763,0.798011108736668,0.09799106299832303,Other Genes
AK1,-18.932216560285795,-105.54707012258604,0.010151585488182978,0.59308070858086,0.8940601293144886,0.048633272086262676,Other Genes
AK2,-18.321159684711063,-206.65510740726648,0.010916450581059436,0.42562602231740776,0.8431281478193622,0.074106411542328,Other Genes
AK3,-18.42847808229946,220.77193215093627,0.010272086066547071,0.29945181621725064,0.798011108736668,0.09799106299832303,Other Genes
AK4,-19.507546046885842,-300.51907072921017,0.006186059899590137,0.06791509590496699,0.6881721653097252,0.16230289738910933,Other Genes
AKAP1,-17.866975527519834,126.92515667296678,0.013644681618955322,0.675702645185563,0.9191417360554187,0.0366175131618116,Other Genes
AKAP12,-17.115087082047726,-280.84687213153956,0.015301783291338791,0.05965048142197526,0.6834941781938039,0.16526518027549125,Other Genes
AKAP13,-18.59282479840885,527.8328418695125,0.009539640147652741,0.23866548804514118,0.781773247738226,0.10691919519624368,Other Genes
AKAP17A,-15.893025846660478,264.1284447738443,0.03416475250056603,0.32686238249315147,0.8093911468573278,0.09184155024348548,Other Genes
AKAP8,-17.64961471451901,-371.663136754238,0.013402106529636802,0.178150948275804,0.766390744451717,0.11554974878574684,Other Genes
AKAP8L,-16.907923643003482,-313.8512379138827,0.01939928439570756,0.26964883955623725,0.7897278079913939,0.10252256928770076,Other Genes
AKAP9,-19.07582081002077,-696.7751880860642,0.008127369932408205,0.22490180127623768,0.77160254263575,0.11260634990988416,Other Genes
AKR1A1,-18.458378838157063,-218.89876146044077,0.01062397273199264,0.5327106026042541,0.8728026822329586,0.059083927775829104,Other Genes
AKR1B1,-18.089119855278753,-11.800799673269125,0.014317564100732911,0.9624551336651711,0.9925746399818621,0.0032368251054854806,Other Genes
AKR7A2,-18.5841552499926,180.0425282086133,0.010342684510466502,0.5508487614422175,0.878047677637833,0.05648190143690034,Other Genes
AKT1,-16.900430608219473,182.467123429564,0.02320033375449416,0.5202794883505155,0.8694381114712325,0.06076132660333478,Other Genes
AKT1S1,-16.956404325896177,-271.9207998553777,0.01902840971430008,0.27712619719834286,0.7941363358450536,0.10010493230542455,Other Genes
AKT2,-15.091588059296486,-414.63821377667807,0.03711006592926424,0.0806154704512884,0.6930753097786261,0.1592195722507178,Other Genes
ALAD,-17.479832178166962,109.02853140175992,0.01816344782860332,0.6868265746844551,0.9200504539696036,0.036188356045995566,Other Genes
ALB,-19.27751960992368,-168.27210549661996,0.008122760763115354,0.3228740898537328,0.8087661232088684,0.09217704833147188,Other Genes
ALCAM,-16.40469891061471,182.8342062963186,0.02257451482875624,0.1459181061955166,0.762631838822359,0.11768506749111968,Other Genes
ALDH16A1,-18.681591187339407,270.34412904157625,0.009983992274736115,0.5004529917397528,0.8646489915447769,0.06316016071218888,Other Genes
ALDH18A1,-18.194134762302387,-7.912256522512635,0.013491354034081067,0.9821061097279958,0.9977287779593041,0.0009875010414971993,Other Genes
ALDH1A1,-18.12851610946639,-29.582251801920215,0.0120660083930245,0.831272137256471,0.9508371804011698,0.021893844479240556,Other Genes
ALDH1A3,-18.20221599295825,-26.76079590124538,0.011714899242106551,0.78006439412983,0.9389601971623911,0.027352817232414495,Other Genes
ALDH1B1,-19.51680172440347,-153.529266084065,0.008314674763146842,0.40663559330138266,0.8382651408251365,0.07661859355983601,Other Genes
ALDH1L2,-18.297311818667346,-188.3697916982853,0.010652318474463747,0.25692555418819674,0.7875352308783823,0.10373000867000819,Other Genes
ALDH2,-18.20831548197723,-20.487578698508656,0.011837190106542652,0.9080007291901382,0.9776913741792072,0.009798216422943835,Other Genes
ALDH3A2,-17.277315379168556,-230.2564621294855,0.016797265651996556,0.34459629545613546,0.8118420632099969,0.09052845074386533,Other Genes
ALDH4A1,-15.29620871363055,-317.83312569716344,0.03657506089392749,0.13262680291094658,0.762631838822359,0.11768506749111968,Other Genes
ALDH5A1,-18.410251538225417,-41.72324678491691,0.011738353738219907,0.8191760402744173,0.9476114867212396,0.023369683502866893,Other Genes
ALDH6A1,-18.944504704575472,204.92177073188742,0.008823801236644955,0.3262471335260235,0.8093911468573278,0.09184155024348548,Other Genes
ALDH7A1,-19.3506348363086,263.840674948883,0.00809082418172385,0.34073298517489325,0.8108043777539834,0.09108391509833641,Other Genes
ALDH9A1,-17.353991713182246,343.02471695541857,0.015680730003671706,0.25568410952037307,0.7875352308783823,0.10373000867000819,Other Genes
ALDOA,-17.176424409571,173.8835337132669,0.020477915831770287,0.5825128744762766,0.892229226750635,0.04952355467809425,Other Genes
ALDOC,-19.38167965175316,-161.93237868962188,0.00787706933603396,0.30979532503795537,0.8049932012498136,0.09420778754785628,Other Genes
ALG1,-18.47305539543002,283.02853654198736,0.010251919062766597,0.35902743177979113,0.8168886216168214,0.08783715315501697,Other Genes
ALG2,-20.428679696721098,-222.31407487284127,0.010699875132108768,0.5063192689513238,0.8678427828790972,0.061558943846911525,Other Genes
ALG5,-18.21368717736278,-279.057539225335,0.011157682683405667,0.3239346726682575,0.8087661232088684,0.09217704833147188,Other Genes
ALG6,-18.73509995954246,-416.5444842506238,0.009064242270609469,0.22946800084327298,0.7747446387333384,0.11084142041502118,Other Genes
ALKBH5,-18.690379776913502,142.42762973312796,0.010797310042527061,0.6739725376878197,0.9191417360554187,0.0366175131618116,Other Genes
ALOX5,-19.158995411348787,-149.7696652992792,0.008705451406733579,0.40080976088164877,0.8354204407451711,0.0780949027909962,Other Genes
ALOX5AP,-19.505530310873585,-337.0671742341922,0.0053963080773910335,0.019224837931593068,0.5787836137259355,0.23748377293852785,Other Genes
ALPL,-19.48297954078826,147.37072749288214,0.00722429239251488,0.21831784400082258,0.77160254263575,0.11260634990988416,Other Genes
ALYREF,-18.07807104055273,342.06208749230194,0.011985513684629336,0.4514766445716878,0.8510741621310282,0.07003259408588403,Other Genes
AMBP,-18.016926051720446,-186.11357355881023,0.011847736890162107,0.2543540502755579,0.7875352308783823,0.10373000867000819,Other Genes
AMPD2,-18.0964191713506,-39.48512690271083,0.012479247964921336,0.9080658115179037,0.9776913741792072,0.009798216422943835,Other Genes
AMPD3,-19.3480340412271,-244.49327395118252,0.007634372060981814,0.24829786140494542,0.7848856305308145,0.10519362178725628,Other Genes
ANAPC1,-21.301205436699853,-779.9281137118425,0.004593442171078075,0.15701847831168053,0.7660160798138202,0.11576211378630473,Other Genes
ANAPC7,-18.16277754257407,126.22544992865198,0.011866669785620837,0.7649263441515053,0.9349338569988896,0.029219112717306768,Other Genes
ANG,-18.289965456445348,-245.3002260259157,0.010170435814749959,0.13174540610224428,0.762631838822359,0.11768506749111968,Other Genes
ANK1,-18.022768861795985,19.83754162477186,0.013180833810386703,0.8716763780388179,0.9641919892314754,0.01583648107435425,Other Genes
ANK3,-19.267064430398346,-226.5884820209999,0.008355038008524952,0.36574642524987944,0.8192825578686771,0.08656629096267171,Other Genes
ANKFY1,-18.19726215068535,11.431055549318302,0.012993367603306034,0.9769332448160901,0.9977287779593041,0.0009875010414971993,Other Genes
ANKLE2,-18.83977512856045,285.57586152588374,0.00964671725301111,0.4920801895467459,0.8613878569530563,0.06480125481100002,Other Genes
ANKRD17,-17.942028476394807,-186.42987231054707,0.013004945478810747,0.6407843386763417,0.9073626825366037,0.04221908610339222,Other Genes
ANKRD28,-20.01122384634835,-284.9947672976312,0.011440613820124903,0.5628418962195116,0.882177445278448,0.0544440500673935,Other Genes
ANKRD44,-17.407704871535742,108.9629717223848,0.018257755434486884,0.6373293286075848,0.9058494340803027,0.04294398265672655,Other Genes
ANKS1A,-17.235252269983967,-180.5956748144571,0.019527653531475543,0.5757975431975967,0.8891442360346274,0.05102778252485464,Other Genes
ANO10,-16.518917905494185,-417.9126339406192,0.02199263206131849,0.178722811827986,0.766390744451717,0.11554974878574684,Other Genes
ANO6,-19.660282972838072,-595.7043074178717,0.005659149753557467,0.04915378154557969,0.6834941781938039,0.16526518027549125,Other Genes
ANP32A,-20.072066477246672,284.2226673271748,0.00703788314664366,0.31006556794013757,0.8049932012498136,0.09420778754785628,Other Genes
ANP32B,-15.739136907505445,418.8496320426789,0.03376014373955616,0.24430453161011378,0.7846349140121986,0.10533237091272848,Other Genes
ANP32E,-19.630588317762083,391.7303878517034,0.0063995419926549295,0.12530445123074263,0.7580182375190803,0.12032034534602241,Other Genes
ANPEP,-19.392074063692633,-88.5941957792067,0.009104100899400357,0.4877339517264725,0.8613670877093141,0.06481172637339942,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
ANXA1,-17.273703428239752,83.5742978266648,0.020505428966694463,0.647468852272381,0.9111903938482232,0.040390867419627545,Other Genes
ANXA11,-18.161073458575657,-0.18064083714233448,0.013411936277262672,0.9994561844868408,0.9997225484741338,0.00012051238562516467,Other Genes
ANXA2,-18.010699302927243,-126.81936265314863,0.012340049336115775,0.4661090157281309,0.8569677684273461,0.06703551209942017,Other Genes
ANXA3,-17.38737465206742,-61.58209861854121,0.018781660274460137,0.6499388371604873,0.9114808190137387,0.04025246610295934,Other Genes
ANXA4,-15.125035832911637,-272.586564227185,0.03994293554800059,0.1417049169101533,0.762631838822359,0.11768506749111968,Other Genes
ANXA5,-17.755457655778304,-156.6990950320094,0.013998591687910395,0.5280769330833617,0.8723194253858981,0.059324456259731484,Other Genes
ANXA6,-18.260213632568362,-249.32684382488176,0.010779371472712905,0.2500127990137447,0.7848856305308145,0.10519362178725628,Other Genes
ANXA7,-19.422712838674542,-506.46292579260114,0.00718808753045881,0.18884261972791933,0.7684155789089095,0.11440383880567512,Other Genes
AOC3,-18.472374106910184,-93.51796515050009,0.01010837608342219,0.29585923399501546,0.798011108736668,0.09799106299832303,Other Genes
AP1B1,-20.216305870530253,-448.5456609257228,0.006546270775763123,0.2685970583991582,0.7897278079913939,0.10252256928770076,Other Genes
AP1G1,-21.540913878601014,-995.8275633542876,0.002832084407478662,0.027429437826098094,0.6087655844057486,0.21554990769141794,Other Genes
AP1M1,-19.68959127017764,-1505.6368642083175,0.0035043544339710877,0.0007939790448394705,0.5010192246271837,0.3001456094834175,Other Genes
AP1M2,-17.422272873488556,83.75768732258916,0.018174459210373757,0.6440491886851172,0.9093196919118013,0.04128340388023732,Other Genes
AP2A1,-18.367623137481267,336.7195956606787,0.010690153930609661,0.39369990564855906,0.8354204407451711,0.0780949027909962,Other Genes
