	t-SNE-1	t-SNE-2
Sample-0	-24.970446	-4.0791235
Sample-1	-21.2332	-3.0669205
Sample-2	-22.179316	-4.1790175
Sample-3	-21.396193	-4.171915
Sample-4	-25.424032	-4.697086
Sample-5	-27.317429	-4.506738
Sample-6	-23.148232	-5.0289836
Sample-7	-23.981323	-4.031096
Sample-8	-20.364616	-3.8562508
Sample-9	-21.942667	-3.2151334
Sample-10	-26.507294	-3.8856723
Sample-11	-23.553488	-4.5747113
Sample-12	-21.060978	-3.4690185
Sample-13	-20.644918	-4.50987
Sample-14	-27.941305	-4.027749
Sample-15	-28.472708	-4.612014
Sample-16	-27.335485	-4.4055977
Sample-17	-24.951674	-4.120441
Sample-18	-27.270393	-3.7352633
Sample-19	-26.60441	-4.8793883
Sample-20	-24.95585	-2.999234
Sample-21	-26.06379	-4.750064
Sample-22	-24.64747	-5.6732273
Sample-23	-23.6727	-3.1077824
Sample-24	-23.529652	-4.628801
Sample-25	-21.476105	-2.7929003
Sample-26	-24.032864	-4.055164
Sample-27	-25.21943	-3.772274
Sample-28	-24.475147	-3.4162254
Sample-29	-22.22529	-4.1490397
Sample-30	-21.735567	-3.6795523
Sample-31	-24.902895	-2.9663303
Sample-32	-27.770384	-5.0996675
Sample-33	-28.14897	-4.689196
Sample-34	-21.981205	-3.2716248
Sample-35	-22.663086	-3.31371
Sample-36	-25.722746	-3.2154624
Sample-37	-25.253521	-5.1090016
Sample-38	-20.762962	-4.252135
Sample-39	-24.232838	-3.6671832
Sample-40	-24.689238	-4.4973783
Sample-41	-19.254322	-3.413205
Sample-42	-21.546362	-4.846193
Sample-43	-24.598658	-4.856079
Sample-44	-26.684668	-5.1906204
Sample-45	-21.055332	-3.4282935
Sample-46	-26.60307	-4.8905687
Sample-47	-21.952122	-4.5226398
Sample-48	-26.341393	-4.120474
Sample-49	-23.292345	-3.67394
Sample-50	12.772092	4.70175
Sample-51	11.75764	3.8548613
Sample-52	12.828503	4.355831
Sample-53	4.2741194	0.9643896
Sample-54	9.9621725	3.5667634
Sample-55	6.5667796	3.0353534
Sample-56	11.851521	3.3554494
Sample-57	3.1251466	1.6844151
Sample-58	10.356674	4.3589315
Sample-59	4.466597	3.163265
Sample-60	3.092736	0.85722315
Sample-61	7.9983397	3.854346
Sample-62	5.0137014	0.2744244
Sample-63	8.756403	3.0068834
Sample-64	6.048714	3.899725
Sample-65	11.86655	4.6112823
Sample-66	7.334055	4.330081
Sample-67	5.8190827	2.3603756
Sample-68	6.004513	-0.23508132
Sample-69	4.679091	1.7420616
Sample-70	11.120653	2.6157346
Sample-71	7.549023	2.9076726
Sample-72	7.7436924	0.33784392
Sample-73	7.989744	2.6636515
Sample-74	9.542189	4.041163
Sample-75	11.130148	4.5017266
Sample-76	10.55592	4.5717435
Sample-77	12.960047	3.2947166
Sample-78	8.457902	3.0780368
Sample-79	5.0428767	1.9078945
Sample-80	4.228498	1.444984
Sample-81	4.136102	1.4110872
Sample-82	5.8272557	2.5861192
Sample-83	8.835302	0.835535
Sample-84	6.825753	4.647802
Sample-85	11.537601	3.1284075
Sample-86	12.244054	4.3173833
Sample-87	5.9765034	-0.057451237
Sample-88	6.736875	4.1826034
Sample-89	4.438055	2.095266
Sample-90	4.8638678	2.5287204
Sample-91	8.9335985	3.4367938
Sample-92	5.4505467	2.0704002
Sample-93	3.1934705	1.4108129
Sample-94	5.4779615	2.9508615
Sample-95	6.984867	3.9814572
Sample-96	6.778227	3.5827801
Sample-97	8.710085	3.5967445
Sample-98	3.3753107	1.9409374
Sample-99	6.2173367	3.2047632
Sample-100	15.4873085	0.15954143
Sample-101	9.068659	-0.29666853
Sample-102	15.578684	2.8941278
Sample-103	11.836026	1.2777104
Sample-104	13.912297	1.0531025
Sample-105	16.466255	3.698687
Sample-106	3.5860922	3.0356972
Sample-107	15.791751	3.977711
Sample-108	10.874545	-0.3303592
Sample-109	17.02465	1.2202724
Sample-110	13.854603	1.7867457
Sample-111	10.73297	0.35838285
Sample-112	14.4886465	2.1806774
Sample-113	8.603405	-0.71563303
Sample-114	9.786122	-1.173333
Sample-115	14.729022	0.64357406
Sample-116	12.861452	1.9704334
Sample-117	17.575033	1.5502976
Sample-118	16.780033	4.422125
Sample-119	6.0805573	-0.28479517
Sample-120	15.63326	1.7246181
Sample-121	9.154387	-0.76856047
Sample-122	16.524702	4.2088575
Sample-123	9.891142	0.6613141
Sample-124	15.474923	1.1558001
Sample-125	15.389301	3.2835689
Sample-126	9.911739	1.1179284
Sample-127	10.736192	2.019686
Sample-128	12.102695	0.44775978
Sample-129	15.080522	3.972211
Sample-130	16.031076	4.142301
Sample-131	17.628767	1.6096252
Sample-132	12.335641	0.35923648
Sample-133	9.2993	1.9821632
Sample-134	8.247447	0.7348761
Sample-135	16.64256	3.5401342
Sample-136	15.456016	0.0646931
Sample-137	12.939299	2.088696
Sample-138	10.447938	2.1229067
Sample-139	14.948906	2.2457325
Sample-140	14.95583	1.2924249
Sample-141	15.058531	1.893835
Sample-142	9.068659	-0.29666853
Sample-143	15.591862	1.478787
Sample-144	15.798139	0.7946548
Sample-145	14.444064	1.5364664
Sample-146	9.818608	-0.020068552
Sample-147	13.268744	1.622558
Sample-148	15.189145	-0.076510236
Sample-149	10.487157	1.9784995
