	UMAP-1	UMAP-2
Sample-0	9.127519	9.090724
Sample-1	13.605059	7.586104
Sample-2	12.953637	8.039062
Sample-3	13.184966	7.972213
Sample-4	8.716859	9.205435
Sample-5	7.7537823	10.7277355
Sample-6	9.975102	8.760528
Sample-7	9.557331	9.03086
Sample-8	13.44532	8.472407
Sample-9	13.376713	7.5993233
Sample-10	8.048888	10.223683
Sample-11	9.870675	8.939107
Sample-12	13.743372	7.890467
Sample-13	13.285301	8.372911
Sample-14	7.880995	10.900692
Sample-15	7.973468	10.7826
Sample-16	7.672557	10.682845
Sample-17	9.201509	9.128643
Sample-18	7.75997	10.975784
Sample-19	7.8795295	10.240188
Sample-20	9.161212	9.706702
Sample-21	8.112019	9.955906
Sample-22	8.887738	8.959351
Sample-23	9.813133	9.186138
Sample-24	9.838323	8.899718
Sample-25	13.622027	7.6259484
Sample-26	9.553895	8.902625
Sample-27	8.958257	9.297949
Sample-28	9.309815	9.50207
Sample-29	13.001889	7.8947053
Sample-30	13.518074	7.7753406
Sample-31	9.289575	9.647588
Sample-32	7.9607644	10.663033
Sample-33	7.9371	10.81622
Sample-34	13.349142	7.6732116
Sample-35	12.999586	7.699314
Sample-36	8.985467	9.767207
Sample-37	8.78112	9.068352
Sample-38	13.40143	8.346606
Sample-39	9.51704	9.394883
Sample-40	9.194171	9.031839
Sample-41	13.5871725	8.566604
Sample-42	12.875177	8.352341
Sample-43	9.381376	8.918933
Sample-44	7.8226647	10.292721
Sample-45	13.75571	7.793276
Sample-46	7.9921513	10.150196
Sample-47	12.904228	8.133992
Sample-48	8.149174	10.052143
Sample-49	10.005318	9.21473
Sample-50	-7.720912	2.7428308
Sample-51	-7.328786	2.6437232
Sample-52	-7.666014	2.8327239
Sample-53	-3.5789678	0.40065938
Sample-54	-7.2601748	1.998412
Sample-55	-5.1237297	0.26163694
Sample-56	-7.015126	2.7285903
Sample-57	-3.4666808	0.120435424
Sample-58	-7.489239	2.0679448
Sample-59	-4.37679	-0.12533951
Sample-60	-3.3457851	0.24318178
Sample-61	-6.2441607	1.0906608
Sample-62	-3.6349607	1.1167408
Sample-63	-6.549425	1.3745292
Sample-64	-5.5718293	0.2538773
Sample-65	-7.746162	2.615082
Sample-66	-5.8313036	0.5572153
Sample-67	-4.647291	0.3295413
Sample-68	-3.721564	1.4487053
Sample-69	-4.0225534	0.31432167
Sample-70	-6.491173	2.6397815
Sample-71	-6.5716953	1.1345409
Sample-72	-4.873036	2.937651
Sample-73	-6.7365847	1.3179892
Sample-74	-7.1142993	1.5809473
Sample-75	-7.6019173	2.2937398
Sample-76	-7.3540535	1.9909416
Sample-77	-7.3797636	3.195932
Sample-78	-6.412889	1.3274231
Sample-79	-4.153598	0.4706609
Sample-80	-3.6394427	0.45374086
Sample-81	-3.6640065	0.45681566
Sample-82	-4.6584234	0.2966456
Sample-83	-5.518121	2.7637193
Sample-84	-5.735624	0.45073447
Sample-85	-6.897245	2.6485825
Sample-86	-7.581002	2.7271817
Sample-87	-3.7748804	1.494263
Sample-88	-5.708534	0.30422026
Sample-89	-4.144801	0.11752065
Sample-90	-4.5218744	0.052715335
Sample-91	-6.5354233	1.5297759
Sample-92	-4.3625546	0.390949
Sample-93	-3.3913672	0.15930729
Sample-94	-4.7557707	0.062349394
Sample-95	-5.8636875	0.5719537
Sample-96	-5.582663	0.4255811
Sample-97	-6.809199	1.3234075
Sample-98	-3.4131665	0.18025006
Sample-99	-5.066298	0.2947476
Sample-100	-7.3766985	4.827718
Sample-101	-5.354638	2.5417323
Sample-102	-7.0571036	5.9433346
Sample-103	-6.252834	3.5434046
Sample-104	-6.530355	4.8221445
Sample-105	-7.3396206	6.4968534
Sample-106	-4.3813615	-0.09856356
Sample-107	-7.3480535	6.473354
Sample-108	-5.3118544	3.3577976
Sample-109	-7.510339	5.363576
Sample-110	-6.981002	4.256867
Sample-111	-5.571682	3.4195187
Sample-112	-6.584939	5.4000726
Sample-113	-5.2788835	2.4077888
Sample-114	-5.2469873	2.6104114
Sample-115	-7.2130713	4.648154
Sample-116	-6.6916685	3.9111571
Sample-117	-7.5668693	5.548526
Sample-118	-7.286245	6.6285276
Sample-119	-3.8227742	1.5917377
Sample-120	-7.1863856	5.3476634
Sample-121	-5.277334	2.5744832
Sample-122	-7.3507924	6.6527996
Sample-123	-5.4541626	3.134069
Sample-124	-7.3768706	5.106693
Sample-125	-7.2843986	6.031703
Sample-126	-5.822444	2.9736335
Sample-127	-6.379266	2.797242
Sample-128	-5.950653	3.7530525
Sample-129	-7.1770678	6.1778455
Sample-130	-7.218911	6.650223
Sample-131	-7.6665792	5.644551
Sample-132	-6.0035734	3.8826435
Sample-133	-5.841181	2.5417235
Sample-134	-5.004994	2.8574247
Sample-135	-7.522107	6.4502206
Sample-136	-7.5275364	4.7553005
Sample-137	-6.8536353	3.8340104
Sample-138	-6.274156	2.628666
Sample-139	-6.826144	5.670786
Sample-140	-6.761159	5.1221175
Sample-141	-6.712446	5.45318
Sample-142	-5.2950964	2.5477777
Sample-143	-7.1653795	5.213218
Sample-144	-7.351738	4.9997225
Sample-145	-6.44718	5.084891
Sample-146	-5.129808	3.1851635
Sample-147	-6.6183386	4.188532
Sample-148	-7.4326725	4.6714516
Sample-149	-6.29962	2.6672494
